	
	Sensitivity=200  uV/pA,, Reserve=Normal,, Time Constant=100ms,, Low Pass Filter=24 dB/oct	
	Daten erstellt am: 	2018_10_04	
	***End of Header***
Stepwith 	Channel X LIA [V] 	Channel Y LIA [V] 	Amplitude LIA [V] 	Phase [°] 	Frequency [Hz] 	Temp Sensor 1 	Temp Sensor 2 	Current I [A]	Voltage over Resistance for Current [V] 
-1.000000E+2	-1.478131E-6	2.506465E-6	2.909852E-6	1.205290E+2	1.030000E+2	1.521200E+1	1.499900E+1	-4.804255E-2	-4.575481E-4
-2.000000E+2	-5.922264E-7	2.769589E-6	2.832200E-6	1.020699E+2	1.030000E+2	1.521000E+1	1.499900E+1	0.000000E+0	
-3.000000E+2	-4.506212E-7	2.795768E-6	2.831851E-6	9.915617E+1	1.030000E+2	1.521000E+1	1.499900E+1	0.000000E+0	
-4.000000E+2	-5.382447E-7	2.769636E-6	2.821451E-6	1.009977E+2	1.030000E+2	1.520900E+1	1.499900E+1	0.000000E+0	
-5.000000E+2	-3.387703E-7	2.769649E-6	2.790291E-6	9.697351E+1	1.030000E+2	1.521100E+1	1.499900E+1	0.000000E+0	
-6.000000E+2	-5.383064E-7	2.769672E-6	2.821499E-6	1.009987E+2	1.030000E+2	1.520800E+1	1.499900E+1	0.000000E+0	
-7.000000E+2	-4.996237E-7	2.745841E-6	2.790926E-6	1.003125E+2	1.030000E+2	1.520900E+1	1.499900E+1	0.000000E+0	
-8.000000E+2	-5.283731E-7	2.804701E-6	2.854037E-6	1.006688E+2	1.030000E+2	1.520900E+1	1.499900E+1	0.000000E+0	
-9.000000E+2	-3.468102E-7	2.804611E-6	2.825973E-6	9.704925E+1	1.030000E+2	1.520800E+1	1.499900E+1	0.000000E+0	
-1.000000E+3	-4.063329E-7	2.707601E-6	2.737921E-6	9.853475E+1	1.030000E+2	1.521000E+1	1.499900E+1	0.000000E+0	
-1.100000E+3	-3.886854E-7	2.795749E-6	2.822639E-6	9.791494E+1	1.030000E+2	1.520800E+1	1.500000E+1	0.000000E+0	
-1.200000E+3	-3.407520E-7	2.743081E-6	2.764164E-6	9.708114E+1	1.030000E+2	1.520800E+1	1.500000E+1	0.000000E+0	
-1.300000E+3	-3.383787E-7	2.805870E-6	2.826200E-6	9.687648E+1	1.030000E+2	1.520700E+1	1.500000E+1	0.000000E+0	
-1.400000E+3	-3.478787E-7	2.655586E-6	2.678275E-6	9.746318E+1	1.030000E+2	1.520700E+1	1.500000E+1	0.000000E+0	
-1.500000E+3	-2.043209E-7	2.769717E-6	2.777243E-6	9.421905E+1	1.030000E+2	1.520700E+1	1.500000E+1	0.000000E+0	
-1.600000E+3	-2.181701E-7	2.831285E-6	2.839678E-6	9.440633E+1	1.030000E+2	1.520700E+1	1.500000E+1	0.000000E+0	
-1.700000E+3	-2.336871E-7	2.795834E-6	2.805583E-6	9.477791E+1	1.030000E+2	1.520700E+1	1.500000E+1	0.000000E+0	
-1.800000E+3	-2.424011E-7	2.769544E-6	2.780132E-6	9.500200E+1	1.030000E+2	1.520600E+1	1.500000E+1	0.000000E+0	
-1.900000E+3	-3.906127E-8	2.747884E-6	2.748162E-6	9.081441E+1	1.030000E+2	1.520800E+1	1.500000E+1	0.000000E+0	
-2.000000E+3	-2.542046E-7	2.833382E-6	2.844762E-6	9.512672E+1	1.030000E+2	1.520500E+1	1.500000E+1	0.000000E+0	
-2.100000E+3	-3.891324E-8	2.844222E-6	2.844488E-6	9.078384E+1	1.030000E+2	1.520500E+1	1.500000E+1	0.000000E+0	
-2.200000E+3	1.818311E-7	2.743064E-6	2.749084E-6	8.620755E+1	1.030000E+2	1.520500E+1	1.500000E+1	0.000000E+0	
-2.300000E+3	2.041603E-7	2.795853E-6	2.803298E-6	8.582353E+1	1.030000E+2	1.520600E+1	1.500000E+1	0.000000E+0	
-2.400000E+3	3.360900E-7	2.867613E-6	2.887241E-6	8.331532E+1	1.030000E+2	1.520400E+1	1.500000E+1	0.000000E+0	
-2.500000E+3	5.728383E-7	2.827216E-6	2.884665E-6	7.854603E+1	1.030000E+2	1.520400E+1	1.500000E+1	0.000000E+0	
-2.600000E+3	7.466035E-7	2.743212E-6	2.842996E-6	7.477493E+1	1.030000E+2	1.520500E+1	1.500100E+1	0.000000E+0	
-2.700000E+3	1.144751E-6	2.844737E-6	3.066428E-6	6.807965E+1	1.030000E+2	1.520400E+1	1.500100E+1	0.000000E+0	
-2.800000E+3	1.688574E-6	2.786751E-6	3.258414E-6	5.878710E+1	1.030000E+2	1.520400E+1	1.500100E+1	0.000000E+0	
-2.900000E+3	2.067307E-6	2.799143E-6	3.479793E-6	5.355227E+1	1.030000E+2	1.520500E+1	1.500100E+1	0.000000E+0	
-3.000000E+3	2.927032E-6	2.880206E-6	4.106471E-6	4.453801E+1	1.030000E+2	1.520400E+1	1.500100E+1	0.000000E+0	
-3.100000E+3	4.018882E-6	2.756834E-6	4.873556E-6	3.444897E+1	1.030000E+2	1.520400E+1	1.500100E+1	0.000000E+0	
-3.200000E+3	4.710592E-6	2.844717E-6	5.502917E-6	3.112770E+1	1.030000E+2	1.520400E+1	1.500100E+1	0.000000E+0	
-3.300000E+3	5.904105E-6	2.853497E-6	6.557508E-6	2.579482E+1	1.030000E+2	1.520300E+1	1.500100E+1	0.000000E+0	
-3.400000E+3	6.989321E-6	2.897778E-6	7.566223E-6	2.251894E+1	1.030000E+2	1.520400E+1	1.500100E+1	0.000000E+0	
-3.500000E+3	7.934056E-6	2.807990E-6	8.416297E-6	1.948969E+1	1.030000E+2	1.520400E+1	1.500100E+1	0.000000E+0	
-3.600000E+3	8.845395E-6	2.799435E-6	9.277815E-6	1.756180E+1	1.030000E+2	1.520400E+1	1.500100E+1	0.000000E+0	
-3.700000E+3	9.714027E-6	2.862100E-6	1.012689E-5	1.641686E+1	1.030000E+2	1.520300E+1	1.500100E+1	0.000000E+0	
-3.800000E+3	1.026206E-5	2.796023E-6	1.063615E-5	1.524097E+1	1.030000E+2	1.520400E+1	1.500100E+1	0.000000E+0	
-3.900000E+3	1.063340E-5	2.865754E-6	1.101280E-5	1.508314E+1	1.030000E+2	1.520200E+1	1.500100E+1	0.000000E+0	
-4.000000E+3	1.062758E-5	2.915170E-6	1.102015E-5	1.533908E+1	1.030000E+2	1.520200E+1	1.500000E+1	0.000000E+0	
-4.100000E+3	1.075755E-5	2.778268E-6	1.111052E-5	1.448091E+1	1.030000E+2	1.520400E+1	1.500000E+1	0.000000E+0	
-4.200000E+3	1.077922E-5	2.804726E-6	1.113813E-5	1.458482E+1	1.030000E+2	1.520400E+1	1.500000E+1	0.000000E+0	
-4.300000E+3	1.057806E-5	2.747421E-6	1.092903E-5	1.455963E+1	1.030000E+2	1.520300E+1	1.499900E+1	0.000000E+0	
-4.400000E+3	1.016053E-5	2.924149E-6	1.057294E-5	1.605554E+1	1.030000E+2	1.520300E+1	1.499900E+1	0.000000E+0	
-4.500000E+3	9.549547E-6	2.743176E-6	9.935736E-6	1.602709E+1	1.030000E+2	1.520300E+1	1.499900E+1	0.000000E+0	
-4.600000E+3	8.806123E-6	2.792924E-6	9.238410E-6	1.759679E+1	1.030000E+2	1.520300E+1	1.499900E+1	0.000000E+0	
