	
	Sensitivity=50 mV/nA,, Reserve=Normal,, Time Constant=100ms,, Low Pass Filter=24 dB/oct	
	Daten erstellt am: 	2018_10_05	
	***End of Header***
Stepwith 	Channel X LIA [V] 	Channel Y LIA [V] 	Amplitude LIA [V] 	Phase [°] 	Frequency [Hz] 	Temp Sensor 1 	Temp Sensor 2 	Current I [A]	Voltage over Resistance for Current [V] 
-1.000000E+2	9.562792E-4	-2.473163E-3	2.651604E-3	-6.886038E+1	5.813600E+4	4.752800E+1	5.499900E+1	-4.962395E-2	-4.726090E-4
-2.000000E+2	9.563009E-4	-2.470912E-3	2.649513E-3	-6.884239E+1	5.813600E+4	4.752700E+1	5.499900E+1	0.000000E+0	
-3.000000E+2	9.562637E-4	-2.473122E-3	2.651560E-3	-6.886038E+1	5.813600E+4	4.753000E+1	5.500100E+1	0.000000E+0	
-4.000000E+2	9.563128E-4	-2.470959E-3	2.649561E-3	-6.884252E+1	5.813600E+4	4.754200E+1	5.500100E+1	0.000000E+0	
-5.000000E+2	9.562774E-4	-2.468799E-3	2.647534E-3	-6.882636E+1	5.813600E+4	4.754500E+1	5.500000E+1	0.000000E+0	
-6.000000E+2	9.562328E-4	-2.468751E-3	2.647473E-3	-6.882689E+1	5.813600E+4	4.754700E+1	5.499900E+1	0.000000E+0	
-7.000000E+2	9.563127E-4	-2.466615E-3	2.645510E-3	-6.880857E+1	5.813600E+4	4.754900E+1	5.500000E+1	0.000000E+0	
-8.000000E+2	9.562938E-4	-2.466554E-3	2.645447E-3	-6.880847E+1	5.813600E+4	4.754200E+1	5.500000E+1	0.000000E+0	
-9.000000E+2	9.563438E-4	-2.466611E-3	2.645517E-3	-6.880790E+1	5.813600E+4	4.753500E+1	5.500200E+1	0.000000E+0	
-1.000000E+3	9.563016E-4	-2.466596E-3	2.645488E-3	-6.880864E+1	5.813600E+4	4.753200E+1	5.500000E+1	0.000000E+0	
-1.100000E+3	9.563124E-4	-2.464371E-3	2.643418E-3	-6.879099E+1	5.813600E+4	4.753100E+1	5.500100E+1	0.000000E+0	
-1.200000E+3	9.563237E-4	-2.462215E-3	2.641412E-3	-6.877384E+1	5.813600E+4	4.753200E+1	5.500100E+1	0.000000E+0	
-1.300000E+3	9.584138E-4	-2.462146E-3	2.642105E-3	-6.873105E+1	5.813600E+4	4.753200E+1	5.500100E+1	0.000000E+0	
-1.400000E+3	9.584572E-4	-2.462142E-3	2.642117E-3	-6.873014E+1	5.813600E+4	4.753300E+1	5.500100E+1	0.000000E+0	
-1.500000E+3	9.607359E-4	-2.459887E-3	2.640845E-3	-6.866633E+1	5.813600E+4	4.752500E+1	5.500000E+1	0.000000E+0	
-1.600000E+3	9.606855E-4	-2.457664E-3	2.638755E-3	-6.864978E+1	5.813600E+4	4.753200E+1	5.500000E+1	0.000000E+0	
-1.700000E+3	9.607122E-4	-2.455513E-3	2.636761E-3	-6.863222E+1	5.813600E+4	4.753200E+1	5.500000E+1	0.000000E+0	
-1.800000E+3	9.628886E-4	-2.453244E-3	2.635443E-3	-6.857019E+1	5.813600E+4	4.753000E+1	5.500000E+1	0.000000E+0	
-1.900000E+3	9.651251E-4	-2.448921E-3	2.632239E-3	-6.849049E+1	5.813600E+4	4.752800E+1	5.500100E+1	0.000000E+0	
-2.000000E+3	9.671821E-4	-2.442437E-3	2.626964E-3	-6.839690E+1	5.813600E+4	4.752300E+1	5.500000E+1	0.000000E+0	
-2.100000E+3	9.694688E-4	-2.438065E-3	2.623744E-3	-6.831532E+1	5.813600E+4	4.752800E+1	5.500000E+1	0.000000E+0	
-2.200000E+3	9.716211E-4	-2.431564E-3	2.618502E-3	-6.821900E+1	5.813600E+4	4.753300E+1	5.500000E+1	0.000000E+0	
-2.300000E+3	9.760430E-4	-2.422617E-3	2.611844E-3	-6.805609E+1	5.813600E+4	4.753000E+1	5.500000E+1	0.000000E+0	
-2.400000E+3	9.827236E-4	-2.411690E-3	2.604226E-3	-6.782992E+1	5.813600E+4	4.753400E+1	5.500000E+1	0.000000E+0	
-2.500000E+3	9.870764E-4	-2.400597E-3	2.595609E-3	-6.764854E+1	5.813600E+4	4.753400E+1	5.500000E+1	0.000000E+0	
-2.600000E+3	9.980411E-4	-2.378537E-3	2.579443E-3	-6.723694E+1	5.813600E+4	4.753000E+1	5.500000E+1	0.000000E+0	
-2.700000E+3	1.009025E-3	-2.354397E-3	2.561507E-3	-6.680145E+1	5.813600E+4	4.753000E+1	5.500000E+1	0.000000E+0	
-2.800000E+3	1.025943E-3	-2.317970E-3	2.534866E-3	-6.612563E+1	5.813600E+4	4.753000E+1	5.500000E+1	0.000000E+0	
-2.900000E+3	1.043531E-3	-2.280717E-3	2.508112E-3	-6.541376E+1	5.813600E+4	4.753200E+1	5.500000E+1	0.000000E+0	
-3.000000E+3	1.069893E-3	-2.226813E-3	2.470499E-3	-6.433760E+1	5.813600E+4	4.753100E+1	5.500000E+1	0.000000E+0	
-3.100000E+3	1.095448E-3	-2.177106E-3	2.437170E-3	-6.328998E+1	5.813600E+4	4.753700E+1	5.499900E+1	0.000000E+0	
-3.200000E+3	1.128304E-3	-2.110996E-3	2.393611E-3	-6.187599E+1	5.813600E+4	4.753300E+1	5.500000E+1	0.000000E+0	
-3.300000E+3	1.156264E-3	-2.057111E-3	2.359799E-3	-6.066047E+1	5.813600E+4	4.753700E+1	5.500000E+1	0.000000E+0	
-3.400000E+3	1.189139E-3	-1.989495E-3	2.317789E-3	-5.913286E+1	5.813600E+4	4.753400E+1	5.500100E+1	0.000000E+0	
-3.500000E+3	1.213420E-3	-1.943411E-3	2.291121E-3	-5.802031E+1	5.813600E+4	4.753800E+1	5.500100E+1	0.000000E+0	
-3.600000E+3	1.232820E-3	-1.900265E-3	2.265138E-3	-5.702603E+1	5.813600E+4	4.752800E+1	5.500000E+1	0.000000E+0	
-3.700000E+3	1.248100E-3	-1.871846E-3	2.249792E-3	-5.630565E+1	5.813600E+4	4.753700E+1	5.500000E+1	0.000000E+0	
-3.800000E+3	1.259103E-3	-1.847583E-3	2.235823E-3	-5.572608E+1	5.813600E+4	4.753800E+1	5.500100E+1	0.000000E+0	
-3.900000E+3	1.265723E-3	-1.836512E-3	2.230433E-3	-5.542541E+1	5.813600E+4	4.752400E+1	5.500100E+1	0.000000E+0	
-4.000000E+3	1.267973E-3	-1.832110E-3	2.228089E-3	-5.531353E+1	5.813600E+4	4.754600E+1	5.500200E+1	0.000000E+0	
-4.100000E+3	1.265714E-3	-1.836548E-3	2.230458E-3	-5.542612E+1	5.813600E+4	4.753100E+1	5.500100E+1	0.000000E+0	
-4.200000E+3	1.259164E-3	-1.849806E-3	2.237694E-3	-5.575686E+1	5.813600E+4	4.753400E+1	5.500000E+1	0.000000E+0	
-4.300000E+3	1.248118E-3	-1.867459E-3	2.246152E-3	-5.624317E+1	5.813600E+4	4.751900E+1	5.500000E+1	0.000000E+0	
-4.400000E+3	1.229387E-3	-1.906958E-3	2.268894E-3	-5.719073E+1	5.813600E+4	4.754200E+1	5.500000E+1	0.000000E+0	
-4.500000E+3	1.211115E-3	-1.948618E-3	2.294322E-3	-5.813801E+1	5.813600E+4	4.754300E+1	5.500000E+1	0.000000E+0	
-4.600000E+3	1.181372E-3	-2.006974E-3	2.328859E-3	-5.951751E+1	5.813600E+4	4.753300E+1	5.500000E+1	0.000000E+0	
-4.700000E+3	1.154048E-3	-2.063739E-3	2.364497E-3	-6.078596E+1	5.813600E+4	4.754700E+1	5.500000E+1	0.000000E+0	
-4.800000E+3	1.119535E-3	-2.130857E-3	2.407055E-3	-6.228292E+1	5.813600E+4	4.752900E+1	5.500100E+1	0.000000E+0	
-4.900000E+3	1.093183E-3	-2.181428E-3	2.440016E-3	-6.338310E+1	5.813600E+4	4.753400E+1	5.500000E+1	0.000000E+0	
-5.000000E+3	1.063202E-3	-2.244550E-3	2.483627E-3	-6.465394E+1	5.813600E+4	4.752800E+1	5.499900E+1	0.000000E+0	
-5.100000E+3	1.039100E-3	-2.289561E-3	2.514323E-3	-6.558944E+1	5.813600E+4	4.753500E+1	5.499900E+1	0.000000E+0	
-5.200000E+3	1.017155E-3	-2.337813E-3	2.549505E-3	-6.648670E+1	5.813600E+4	4.753400E+1	5.500000E+1	0.000000E+0	
-5.300000E+3	9.980425E-4	-2.374231E-3	2.575473E-3	-6.719984E+1	5.813600E+4	4.753800E+1	5.500000E+1	0.000000E+0	
-5.400000E+3	9.827193E-4	-2.409378E-3	2.602083E-3	-6.781079E+1	5.813600E+4	4.754400E+1	5.500000E+1	0.000000E+0	
-5.500000E+3	9.672512E-4	-2.440274E-3	2.624978E-3	-6.837812E+1	5.813600E+4	4.754400E+1	5.500100E+1	0.000000E+0	
-5.600000E+3	9.476964E-4	-2.478785E-3	2.653772E-3	-6.907700E+1	5.813600E+4	4.753800E+1	5.500100E+1	0.000000E+0	
-5.700000E+3	9.325792E-4	-2.513855E-3	2.681263E-3	-6.964637E+1	5.813600E+4	4.753100E+1	5.500100E+1	0.000000E+0	
-5.800000E+3	9.105720E-4	-2.564553E-3	2.721410E-3	-7.045205E+1	5.813600E+4	4.753000E+1	5.500000E+1	0.000000E+0	
-5.900000E+3	8.863436E-4	-2.612240E-3	2.758514E-3	-7.125772E+1	5.813600E+4	4.753800E+1	5.500000E+1	0.000000E+0	
-6.000000E+3	8.541532E-4	-2.679410E-3	2.812262E-3	-7.231855E+1	5.813600E+4	4.753800E+1	5.500000E+1	0.000000E+0	
-6.100000E+3	8.255400E-4	-2.736582E-3	2.858390E-3	-7.321310E+1	5.813600E+4	4.753200E+1	5.500100E+1	0.000000E+0	
-6.200000E+3	7.933298E-4	-2.804654E-3	2.914697E-3	-7.420581E+1	5.813600E+4	4.753100E+1	5.500100E+1	0.000000E+0	
-6.300000E+3	7.603043E-4	-2.867266E-3	2.966358E-3	-7.514884E+1	5.813600E+4	4.753100E+1	5.500100E+1	0.000000E+0	
-6.400000E+3	7.302631E-4	-2.932196E-3	3.021764E-3	-7.601501E+1	5.813600E+4	4.753300E+1	5.500100E+1	0.000000E+0	
-6.500000E+3	7.082663E-4	-2.974111E-3	3.057282E-3	-7.660486E+1	5.813600E+4	4.753100E+1	5.500000E+1	0.000000E+0	
-6.600000E+3	6.842204E-4	-3.024610E-3	3.101036E-3	-7.725323E+1	5.813600E+4	4.753600E+1	5.500000E+1	0.000000E+0	
-6.700000E+3	6.687406E-4	-3.050099E-3	3.122550E-3	-7.763346E+1	5.813600E+4	4.753900E+1	5.500100E+1	0.000000E+0	
-6.800000E+3	6.604146E-4	-3.076271E-3	3.146362E-3	-7.788363E+1	5.813600E+4	4.753600E+1	5.500100E+1	0.000000E+0	
-6.900000E+3	6.516012E-4	-3.089599E-3	3.157563E-3	-7.809075E+1	5.813600E+4	4.753600E+1	5.500100E+1	0.000000E+0	
-7.000000E+3	6.493233E-4	-3.096175E-3	3.163530E-3	-7.815570E+1	5.813600E+4	4.753600E+1	5.500100E+1	0.000000E+0	
-7.100000E+3	6.493024E-4	-3.093955E-3	3.161353E-3	-7.814782E+1	5.813600E+4	4.753900E+1	5.500100E+1	0.000000E+0	
-7.200000E+3	6.537235E-4	-3.082923E-3	3.151471E-3	-7.802796E+1	5.813600E+4	4.753800E+1	5.500000E+1	0.000000E+0	
-7.300000E+3	6.625624E-4	-3.063328E-3	3.134161E-3	-7.779558E+1	5.813600E+4	4.753700E+1	5.500000E+1	0.000000E+0	
-7.400000E+3	6.753996E-4	-3.031248E-3	3.105580E-3	-7.743897E+1	5.813600E+4	4.753200E+1	5.500000E+1	0.000000E+0	
-7.500000E+3	6.951145E-4	-2.990408E-3	3.070134E-3	-7.691409E+1	5.813600E+4	4.752900E+1	5.500000E+1	0.000000E+0	
-7.600000E+3	7.235992E-4	-2.936623E-3	3.024459E-3	-7.615777E+1	5.813600E+4	4.753000E+1	5.500100E+1	0.000000E+0	
-7.700000E+3	7.494053E-4	-2.884926E-3	2.980672E-3	-7.543835E+1	5.813600E+4	4.753300E+1	5.499900E+1	0.000000E+0	
-7.800000E+3	7.779117E-4	-2.823614E-3	2.928812E-3	-7.459700E+1	5.813600E+4	4.753100E+1	5.500000E+1	0.000000E+0	
-7.900000E+3	8.056788E-4	-2.768698E-3	2.883540E-3	-7.377524E+1	5.813600E+4	4.753300E+1	5.500100E+1	0.000000E+0	
-8.000000E+3	8.321333E-4	-2.714764E-3	2.839435E-3	-7.295858E+1	5.813600E+4	4.753100E+1	5.500000E+1	0.000000E+0	
-8.100000E+3	8.519015E-4	-2.678916E-3	2.811108E-3	-7.235922E+1	5.813600E+4	4.753100E+1	5.500100E+1	0.000000E+0	
-8.200000E+3	8.694411E-4	-2.640020E-3	2.779503E-3	-7.177167E+1	5.813600E+4	4.753200E+1	5.500000E+1	0.000000E+0	
-8.300000E+3	8.818843E-4	-2.612354E-3	2.757193E-3	-7.134623E+1	5.813600E+4	4.753600E+1	5.500000E+1	0.000000E+0	
-8.400000E+3	8.951323E-4	-2.588065E-3	2.738493E-3	-7.092107E+1	5.813600E+4	4.753300E+1	5.500100E+1	0.000000E+0	
-8.500000E+3	9.018021E-4	-2.570638E-3	2.724230E-3	-7.066869E+1	5.813600E+4	4.753600E+1	5.500000E+1	0.000000E+0	
-8.600000E+3	9.105063E-4	-2.553012E-3	2.710516E-3	-7.037173E+1	5.813600E+4	4.753600E+1	5.500000E+1	0.000000E+0	
-8.700000E+3	9.170354E-4	-2.542507E-3	2.702831E-3	-7.016656E+1	5.813600E+4	4.753700E+1	5.499900E+1	0.000000E+0	
-8.800000E+3	9.236842E-4	-2.527067E-3	2.690587E-3	-6.992181E+1	5.813600E+4	4.753100E+1	5.499900E+1	0.000000E+0	
-8.900000E+3	9.280925E-4	-2.518326E-3	2.683901E-3	-6.976937E+1	5.813600E+4	4.754100E+1	5.499900E+1	0.000000E+0	
-9.000000E+3	9.325186E-4	-2.507405E-3	2.675196E-3	-6.959954E+1	5.813600E+4	4.754300E+1	5.499900E+1	0.000000E+0	
-9.100000E+3	9.369108E-4	-2.503036E-3	2.672637E-3	-6.947863E+1	5.813600E+4	4.754100E+1	5.500000E+1	0.000000E+0	
-9.200000E+3	9.390820E-4	-2.494145E-3	2.665077E-3	-6.936791E+1	5.813600E+4	4.754100E+1	5.500100E+1	0.000000E+0	
-9.300000E+3	9.413564E-4	-2.491994E-3	2.663866E-3	-6.930582E+1	5.813600E+4	4.754000E+1	5.499900E+1	0.000000E+0	
-9.400000E+3	9.408244E-4	-2.487546E-3	2.659517E-3	-6.928268E+1	5.813600E+4	4.753900E+1	5.499800E+1	0.000000E+0	
-9.500000E+3	9.408238E-4	-2.487558E-3	2.659529E-3	-6.928279E+1	5.813600E+4	4.753800E+1	5.499900E+1	0.000000E+0	
-9.600000E+3	9.430485E-4	-2.485413E-3	2.658311E-3	-6.922158E+1	5.813600E+4	4.753900E+1	5.500100E+1	0.000000E+0	
-9.700000E+3	9.430732E-4	-2.480969E-3	2.654166E-3	-6.918706E+1	5.813600E+4	4.753900E+1	5.500000E+1	0.000000E+0	
-9.800000E+3	9.452460E-4	-2.478780E-3	2.652893E-3	-6.912639E+1	5.813600E+4	4.754200E+1	5.500000E+1	0.000000E+0	
-9.900000E+3	9.451728E-4	-2.478787E-3	2.652873E-3	-6.912792E+1	5.813600E+4	4.754100E+1	5.499900E+1	0.000000E+0	
-1.000000E+4	9.452278E-4	-2.477572E-3	2.651757E-3	-6.911745E+1	5.813600E+4	4.753900E+1	5.499900E+1	0.000000E+0	
-1.010000E+4	9.452318E-4	-2.477579E-3	2.651765E-3	-6.911743E+1	5.813600E+4	4.754000E+1	5.499900E+1	0.000000E+0	
-1.020000E+4	9.475406E-4	-2.475402E-3	2.650556E-3	-6.905403E+1	5.813600E+4	4.754300E+1	5.500000E+1	0.000000E+0	
-1.030000E+4	9.474695E-4	-2.477577E-3	2.652562E-3	-6.907226E+1	5.813600E+4	4.753700E+1	5.500000E+1	0.000000E+0	
-1.040000E+4	9.475001E-4	-2.475381E-3	2.650522E-3	-6.905468E+1	5.813600E+4	4.753800E+1	5.500000E+1	0.000000E+0	
-1.050000E+4	9.474736E-4	-2.475345E-3	2.650479E-3	-6.905494E+1	5.813600E+4	4.754200E+1	5.499900E+1	0.000000E+0	
-1.060000E+4	9.474669E-4	-2.475342E-3	2.650474E-3	-6.905505E+1	5.813600E+4	4.754000E+1	5.500000E+1	0.000000E+0	
-1.070000E+4	9.475022E-4	-2.473153E-3	2.648442E-3	-6.903741E+1	5.813600E+4	4.753900E+1	5.499900E+1	0.000000E+0	
-1.080000E+4	9.495894E-4	-2.473192E-3	2.649226E-3	-6.899556E+1	5.813600E+4	4.754300E+1	5.500000E+1	0.000000E+0	
-1.090000E+4	9.496443E-4	-2.473168E-3	2.649223E-3	-6.899426E+1	5.813600E+4	4.754000E+1	5.499900E+1	0.000000E+0	
-1.100000E+4	9.495709E-4	-2.475397E-3	2.651278E-3	-6.901301E+1	5.813600E+4	4.753900E+1	5.499900E+1	0.000000E+0	
