	
	Sensitivity=1 V/uA,, Reserve=Normal,, Time Constant=100ms,, Low Pass Filter=24 dB/oct	
	Daten erstellt am: 	2018_10_05	
	***End of Header***
Stepwith 	Channel X LIA [V] 	Channel Y LIA [V] 	Amplitude LIA [V] 	Phase [°] 	Frequency [Hz] 	Temp Sensor 1 	Temp Sensor 2 	Current I [A]	Voltage over Resistance for Current [V] 
-1.000000E+3	-1.436861E-2	8.274731E-1	8.275978E-1	9.099481E+1	3.389970E+2	9.227100E+1	1.000360E+2	-3.714260E-2	-3.537391E-4
-2.000000E+3	-1.436942E-2	8.273859E-1	8.275107E-1	9.099497E+1	3.389970E+2	9.227500E+1	1.000360E+2	0.000000E+0	
-3.000000E+3	-1.437108E-2	8.274287E-1	8.275535E-1	9.099503E+1	3.389970E+2	9.227500E+1	1.000370E+2	0.000000E+0	
-4.000000E+3	-1.437928E-2	8.273857E-1	8.275107E-1	9.099565E+1	3.389970E+2	9.227300E+1	1.000360E+2	0.000000E+0	
-5.000000E+3	-1.436865E-2	8.273862E-1	8.275110E-1	9.099492E+1	3.389970E+2	9.227000E+1	1.000370E+2	0.000000E+0	
-6.000000E+3	-1.436915E-2	8.274305E-1	8.275553E-1	9.099490E+1	3.389970E+2	9.226600E+1	1.000350E+2	0.000000E+0	
-7.000000E+3	-1.437984E-2	8.274300E-1	8.275549E-1	9.099564E+1	3.389970E+2	9.226200E+1	1.000350E+2	0.000000E+0	
-8.000000E+3	-1.437894E-2	8.274747E-1	8.275996E-1	9.099552E+1	3.389970E+2	9.226100E+1	1.000350E+2	0.000000E+0	
-9.000000E+3	-1.441465E-2	8.275179E-1	8.276434E-1	9.099794E+1	3.389970E+2	9.225600E+1	1.000340E+2	0.000000E+0	
-1.000000E+4	-1.436937E-2	8.276060E-1	8.277308E-1	9.099470E+1	3.389970E+2	9.225200E+1	1.000370E+2	0.000000E+0	
-1.100000E+4	-1.436959E-2	8.275621E-1	8.276868E-1	9.099477E+1	3.389970E+2	9.224600E+1	1.000410E+2	0.000000E+0	
