	
	Sensitivity=200 mV/nA,, Reserve=Normal,, Time Constant=100ms,, Low Pass Filter=24 dB/oct	
	Daten erstellt am: 	2018_10_05	
	***End of Header***
Stepwith 	Channel X LIA [V] 	Channel Y LIA [V] 	Amplitude LIA [V] 	Phase [°] 	Frequency [Hz] 	Temp Sensor 1 	Temp Sensor 2 	Current I [A]	Voltage over Resistance for Current [V] 
-1.000000E+3	-1.468650E-1	3.077143E-2	1.500540E-1	1.681665E+2	8.162440E+4	9.311500E+1	1.000240E+2	-4.907103E-2	-4.673432E-4
-2.000000E+3	-1.468559E-1	3.077120E-2	1.500450E-1	1.681658E+2	8.162440E+4	9.311600E+1	1.000210E+2	0.000000E+0	
-3.000000E+3	-1.468479E-1	3.077142E-2	1.500372E-1	1.681651E+2	8.162440E+4	9.311600E+1	1.000230E+2	0.000000E+0	
-4.000000E+3	-1.468561E-1	3.077126E-2	1.500452E-1	1.681658E+2	8.162440E+4	9.311200E+1	1.000230E+2	0.000000E+0	
-5.000000E+3	-1.468564E-1	3.077996E-2	1.500473E-1	1.681626E+2	8.162440E+4	9.310900E+1	1.000240E+2	0.000000E+0	
-6.000000E+3	-1.468479E-1	3.077107E-2	1.500372E-1	1.681653E+2	8.162440E+4	9.310400E+1	1.000220E+2	0.000000E+0	
-7.000000E+3	-1.468216E-1	3.076272E-2	1.500098E-1	1.681663E+2	8.162440E+4	9.310300E+1	1.000230E+2	0.000000E+0	
-8.000000E+3	-1.467531E-1	3.076232E-2	1.499427E-1	1.681611E+2	8.162440E+4	9.309800E+1	1.000230E+2	0.000000E+0	
-9.000000E+3	-1.468129E-1	3.076253E-2	1.500012E-1	1.681657E+2	8.162440E+4	9.309200E+1	1.000250E+2	0.000000E+0	
-1.000000E+4	-1.468482E-1	3.077135E-2	1.500375E-1	1.681652E+2	8.162440E+4	9.308400E+1	1.000250E+2	0.000000E+0	
-1.100000E+4	-1.468390E-1	3.076241E-2	1.500267E-1	1.681678E+2	8.162440E+4	9.308200E+1	1.000240E+2	0.000000E+0	
