	
	Sensitivity=200 mV/nA,, Reserve=Normal,, Time Constant=100ms,, Low Pass Filter=24 dB/oct	
	Daten erstellt am: 	2018_10_05	
	***End of Header***
Stepwith 	Channel X LIA [V] 	Channel Y LIA [V] 	Amplitude LIA [V] 	Phase [°] 	Frequency [Hz] 	Temp Sensor 1 	Temp Sensor 2 	Current I [A]	Voltage over Resistance for Current [V] 
-1.000000E+3	-1.254031E-1	2.322463E-2	1.275356E-1	1.695077E+2	9.053250E+4	9.312800E+1	1.000200E+2	-4.956193E-2	-4.720184E-4
-2.000000E+3	-1.254207E-1	2.322463E-2	1.275529E-1	1.695092E+2	9.053250E+4	9.313400E+1	1.000220E+2	0.000000E+0	
-3.000000E+3	-1.254035E-1	2.322460E-2	1.275360E-1	1.695078E+2	9.053250E+4	9.313000E+1	1.000240E+2	0.000000E+0	
-4.000000E+3	-1.254036E-1	2.322459E-2	1.275360E-1	1.695078E+2	9.053250E+4	9.312700E+1	1.000240E+2	0.000000E+0	
-5.000000E+3	-1.254037E-1	2.322442E-2	1.275361E-1	1.695079E+2	9.053250E+4	9.312300E+1	1.000240E+2	0.000000E+0	
-6.000000E+3	-1.254120E-1	2.323345E-2	1.275459E-1	1.695045E+2	9.053250E+4	9.311700E+1	1.000210E+2	0.000000E+0	
-7.000000E+3	-1.253857E-1	2.323340E-2	1.275200E-1	1.695024E+2	9.053250E+4	9.311000E+1	1.000230E+2	0.000000E+0	
-8.000000E+3	-1.253061E-1	2.319784E-2	1.274354E-1	1.695116E+2	9.053250E+4	9.310900E+1	1.000230E+2	0.000000E+0	
-9.000000E+3	-1.253768E-1	2.320659E-2	1.275064E-1	1.695135E+2	9.053250E+4	9.310600E+1	1.000210E+2	0.000000E+0	
-1.000000E+4	-1.253943E-1	2.320677E-2	1.275237E-1	1.695149E+2	9.053250E+4	9.310100E+1	1.000240E+2	0.000000E+0	
-1.100000E+4	-1.253967E-1	2.320668E-2	1.275261E-1	1.695151E+2	9.053250E+4	9.309500E+1	1.000220E+2	0.000000E+0	
