	
	Sensitivity=5 uV/pA,, Reserve=Normal,, Time Constant=100ms,, Low Pass Filter=24 dB/oct	
	Daten erstellt am: 	2018_10_11	
	***End of Header***
Stepwith 	Channel X LIA [V] 	Channel Y LIA [V] 	Amplitude LIA [V] 	Phase [°] 	Frequency [Hz] 	Temp Sensor 1 	Temp Sensor 2 	Current I [A]	Voltage over Resistance for Current [V] 
-1.000000E+2	9.706340E-7	1.447553E-6	1.742854E-6	5.615679E+1	1.030000E+2	3.301480E+2	2.875260E+2	-4.942146E-2	-4.706806E-4
-2.000000E+2	4.112522E-7	1.437049E-6	1.494737E-6	7.403003E+1	1.030000E+2	3.301480E+2	2.875300E+2	0.000000E+0	
-3.000000E+2	4.086003E-7	1.498341E-6	1.553055E-6	7.474624E+1	1.030000E+2	3.301480E+2	2.875290E+2	0.000000E+0	
-4.000000E+2	4.449183E-7	1.427898E-6	1.495609E-6	7.269351E+1	1.030000E+2	3.301480E+2	2.875260E+2	0.000000E+0	
-5.000000E+2	4.745191E-7	1.434383E-6	1.510835E-6	7.169488E+1	1.030000E+2	3.301480E+2	2.875220E+2	0.000000E+0	
-6.000000E+2	4.330057E-7	1.407073E-6	1.472192E-6	7.289503E+1	1.030000E+2	3.301480E+2	2.875320E+2	0.000000E+0	
-7.000000E+2	5.447650E-7	1.507674E-6	1.603075E-6	7.013379E+1	1.030000E+2	3.301480E+2	2.875210E+2	0.000000E+0	
-8.000000E+2	4.909615E-7	1.530188E-6	1.607022E-6	7.221114E+1	1.030000E+2	3.301480E+2	2.875250E+2	0.000000E+0	
-9.000000E+2	5.661442E-7	1.511292E-6	1.613853E-6	6.946357E+1	1.030000E+2	3.301480E+2	2.875290E+2	0.000000E+0	
-1.000000E+3	4.807304E-7	1.502366E-6	1.577404E-6	7.225625E+1	1.030000E+2	3.301480E+2	2.875240E+2	0.000000E+0	
-1.100000E+3	5.206932E-7	1.460217E-6	1.550275E-6	7.037447E+1	1.030000E+2	3.301480E+2	2.875260E+2	0.000000E+0	
-1.200000E+3	5.668056E-7	1.540767E-6	1.641716E-6	6.980283E+1	1.030000E+2	3.301480E+2	2.875290E+2	0.000000E+0	
-1.300000E+3	4.584503E-7	1.419495E-6	1.491692E-6	7.210125E+1	1.030000E+2	3.301480E+2	2.875360E+2	0.000000E+0	
-1.400000E+3	4.103938E-7	1.516807E-6	1.571345E-6	7.486029E+1	1.030000E+2	3.301480E+2	2.875260E+2	0.000000E+0	
-1.500000E+3	4.478864E-7	1.481535E-6	1.547755E-6	7.317928E+1	1.030000E+2	3.301480E+2	2.875380E+2	0.000000E+0	
-1.600000E+3	5.042994E-7	1.495327E-6	1.578075E-6	7.136331E+1	1.030000E+2	3.301480E+2	2.875310E+2	0.000000E+0	
-1.700000E+3	4.607483E-7	1.507957E-6	1.576777E-6	7.300975E+1	1.030000E+2	3.301480E+2	2.875280E+2	0.000000E+0	
-1.800000E+3	4.056108E-7	1.531263E-6	1.584073E-6	7.516385E+1	1.030000E+2	3.301480E+2	2.875360E+2	0.000000E+0	
-1.900000E+3	4.758520E-7	1.476223E-6	1.551022E-6	7.213357E+1	1.030000E+2	3.301480E+2	2.875390E+2	0.000000E+0	
-2.000000E+3	4.737338E-7	1.513095E-6	1.585522E-6	7.261522E+1	1.030000E+2	3.301480E+2	2.875350E+2	0.000000E+0	
-2.100000E+3	5.018097E-7	1.436913E-6	1.522015E-6	7.074938E+1	1.030000E+2	3.301480E+2	2.875410E+2	0.000000E+0	
-2.200000E+3	4.006391E-7	1.501604E-6	1.554132E-6	7.506106E+1	1.030000E+2	3.301480E+2	2.875410E+2	0.000000E+0	
-2.300000E+3	5.070665E-7	1.489366E-6	1.573318E-6	7.119845E+1	1.030000E+2	3.301480E+2	2.875420E+2	0.000000E+0	
-2.400000E+3	4.022497E-7	1.504501E-6	1.557347E-6	7.503128E+1	1.030000E+2	3.301480E+2	2.875380E+2	0.000000E+0	
-2.500000E+3	4.410316E-7	1.488333E-6	1.552303E-6	7.349408E+1	1.030000E+2	3.301480E+2	2.875390E+2	0.000000E+0	
-2.600000E+3	4.710728E-7	1.489883E-6	1.562581E-6	7.245403E+1	1.030000E+2	3.301480E+2	2.875420E+2	0.000000E+0	
-2.700000E+3	5.334691E-7	1.462232E-6	1.556506E-6	6.995641E+1	1.030000E+2	3.301480E+2	2.875280E+2	0.000000E+0	
-2.800000E+3	4.766388E-7	1.455596E-6	1.531648E-6	7.186883E+1	1.030000E+2	3.301480E+2	2.875290E+2	0.000000E+0	
-2.900000E+3	5.155238E-7	1.500020E-6	1.586135E-6	7.103328E+1	1.030000E+2	3.301480E+2	2.875300E+2	0.000000E+0	
-3.000000E+3	5.218466E-7	1.511699E-6	1.599236E-6	7.095505E+1	1.030000E+2	3.301480E+2	2.875370E+2	0.000000E+0	
-3.100000E+3	5.235985E-7	1.492514E-6	1.581694E-6	7.066829E+1	1.030000E+2	3.301480E+2	2.875290E+2	0.000000E+0	
-3.200000E+3	5.280179E-7	1.423747E-6	1.518506E-6	6.965195E+1	1.030000E+2	3.301480E+2	2.875260E+2	0.000000E+0	
-3.300000E+3	5.870116E-7	1.438687E-6	1.553835E-6	6.780361E+1	1.030000E+2	3.301480E+2	2.875240E+2	0.000000E+0	
-3.400000E+3	4.547720E-7	1.492734E-6	1.560472E-6	7.305627E+1	1.030000E+2	3.301480E+2	2.875270E+2	0.000000E+0	
-3.500000E+3	4.718081E-7	1.480694E-6	1.554046E-6	7.232605E+1	1.030000E+2	3.301480E+2	2.875300E+2	0.000000E+0	
-3.600000E+3	5.351840E-7	1.468475E-6	1.562959E-6	6.997580E+1	1.030000E+2	3.301480E+2	2.875250E+2	0.000000E+0	
-3.700000E+3	4.488598E-7	1.431590E-6	1.500308E-6	7.259174E+1	1.030000E+2	3.301480E+2	2.875230E+2	0.000000E+0	
-3.800000E+3	5.715475E-7	1.550442E-6	1.652433E-6	6.976433E+1	1.030000E+2	3.301480E+2	2.875310E+2	0.000000E+0	
-3.900000E+3	5.015505E-7	1.497500E-6	1.579259E-6	7.148300E+1	1.030000E+2	3.301480E+2	2.875290E+2	0.000000E+0	
-4.000000E+3	5.781117E-7	1.515368E-6	1.621898E-6	6.911819E+1	1.030000E+2	3.301480E+2	2.875320E+2	0.000000E+0	
-4.100000E+3	6.034384E-7	1.443451E-6	1.564509E-6	6.731251E+1	1.030000E+2	3.301480E+2	2.875380E+2	0.000000E+0	
