	
	Sensitivity=5 mV/nA,, Reserve=Normal,, Time Constant=100ms,, Low Pass Filter=24 dB/oct	
	Daten erstellt am: 	2018_10_11	
	***End of Header***
Stepwith 	Channel X LIA [V] 	Channel Y LIA [V] 	Amplitude LIA [V] 	Phase [°] 	Frequency [Hz] 	Temp Sensor 1 	Temp Sensor 2 	Current I [A]	Voltage over Resistance for Current [V] 
-1.000000E+2	-4.585495E-4	-1.828819E-3	1.885430E-3	-1.040759E+2	3.392450E+4	3.301480E+2	2.877840E+2	-4.647972E-2	-4.426640E-4
-2.000000E+2	-4.585509E-4	-1.828811E-3	1.885423E-3	-1.040760E+2	3.392450E+4	3.301480E+2	2.877750E+2	0.000000E+0	
-3.000000E+2	-4.585502E-4	-1.828594E-3	1.885212E-3	-1.040776E+2	3.392450E+4	3.301480E+2	2.877790E+2	0.000000E+0	
-4.000000E+2	-4.583441E-4	-1.828819E-3	1.885380E-3	-1.040698E+2	3.392450E+4	3.301480E+2	2.877900E+2	0.000000E+0	
-5.000000E+2	-4.583430E-4	-1.828596E-3	1.885163E-3	-1.040715E+2	3.392450E+4	3.301480E+2	2.877880E+2	0.000000E+0	
-6.000000E+2	-4.583390E-4	-1.828373E-3	1.884946E-3	-1.040730E+2	3.392450E+4	3.301480E+2	2.877870E+2	0.000000E+0	
-7.000000E+2	-4.583383E-4	-1.828374E-3	1.884947E-3	-1.040729E+2	3.392450E+4	3.301480E+2	2.877840E+2	0.000000E+0	
-8.000000E+2	-4.583350E-4	-1.828374E-3	1.884946E-3	-1.040729E+2	3.392450E+4	3.301480E+2	2.877880E+2	0.000000E+0	
-9.000000E+2	-4.583406E-4	-1.828376E-3	1.884950E-3	-1.040730E+2	3.392450E+4	3.301480E+2	2.877910E+2	0.000000E+0	
-1.000000E+3	-4.583414E-4	-1.828378E-3	1.884952E-3	-1.040730E+2	3.392450E+4	3.301480E+2	2.877920E+2	0.000000E+0	
-1.100000E+3	-4.583412E-4	-1.828374E-3	1.884948E-3	-1.040730E+2	3.392450E+4	3.301480E+2	2.877860E+2	0.000000E+0	
-1.200000E+3	-4.583400E-4	-1.828381E-3	1.884954E-3	-1.040729E+2	3.392450E+4	3.301480E+2	2.877840E+2	0.000000E+0	
-1.300000E+3	-4.583421E-4	-1.828595E-3	1.885163E-3	-1.040714E+2	3.392450E+4	3.301480E+2	2.877860E+2	0.000000E+0	
-1.400000E+3	-4.583380E-4	-1.828377E-3	1.884950E-3	-1.040729E+2	3.392450E+4	3.301480E+2	2.877780E+2	0.000000E+0	
-1.500000E+3	-4.583422E-4	-1.828380E-3	1.884954E-3	-1.040730E+2	3.392450E+4	3.301480E+2	2.877870E+2	0.000000E+0	
-1.600000E+3	-4.583380E-4	-1.828598E-3	1.885165E-3	-1.040713E+2	3.392450E+4	3.301480E+2	2.877920E+2	0.000000E+0	
-1.700000E+3	-4.583431E-4	-1.828377E-3	1.884951E-3	-1.040731E+2	3.392450E+4	3.301480E+2	2.877990E+2	0.000000E+0	
-1.800000E+3	-4.581120E-4	-1.828380E-3	1.884897E-3	-1.040662E+2	3.392450E+4	3.301480E+2	2.877870E+2	0.000000E+0	
-1.900000E+3	-4.583426E-4	-1.828379E-3	1.884953E-3	-1.040730E+2	3.392450E+4	3.301480E+2	2.877890E+2	0.000000E+0	
-2.000000E+3	-4.583373E-4	-1.828381E-3	1.884954E-3	-1.040729E+2	3.392450E+4	3.301480E+2	2.877890E+2	0.000000E+0	
-2.100000E+3	-4.581106E-4	-1.828373E-3	1.884891E-3	-1.040662E+2	3.392450E+4	3.301480E+2	2.877860E+2	0.000000E+0	
-2.200000E+3	-4.581105E-4	-1.828375E-3	1.884892E-3	-1.040662E+2	3.392450E+4	3.301480E+2	2.877850E+2	0.000000E+0	
-2.300000E+3	-4.578995E-4	-1.828156E-3	1.884629E-3	-1.040616E+2	3.392450E+4	3.301480E+2	2.877890E+2	0.000000E+0	
-2.400000E+3	-4.576673E-4	-1.827936E-3	1.884359E-3	-1.040564E+2	3.392450E+4	3.301480E+2	2.877770E+2	0.000000E+0	
-2.500000E+3	-4.576673E-4	-1.827713E-3	1.884143E-3	-1.040580E+2	3.392450E+4	3.301480E+2	2.877770E+2	0.000000E+0	
-2.600000E+3	-4.574582E-4	-1.827284E-3	1.883675E-3	-1.040550E+2	3.392450E+4	3.301480E+2	2.877850E+2	0.000000E+0	
-2.700000E+3	-4.570121E-4	-1.826832E-3	1.883129E-3	-1.040452E+2	3.392450E+4	3.301480E+2	2.877950E+2	0.000000E+0	
-2.800000E+3	-4.567873E-4	-1.826391E-3	1.882647E-3	-1.040418E+2	3.392450E+4	3.301480E+2	2.877980E+2	0.000000E+0	
-2.900000E+3	-4.563553E-4	-1.825514E-3	1.881691E-3	-1.040356E+2	3.392450E+4	3.301480E+2	2.877870E+2	0.000000E+0	
-3.000000E+3	-4.554747E-4	-1.824735E-3	1.880722E-3	-1.040153E+2	3.392450E+4	3.301480E+2	2.877830E+2	0.000000E+0	
-3.100000E+3	-4.545999E-4	-1.823410E-3	1.879225E-3	-1.039992E+2	3.392450E+4	3.301480E+2	2.877760E+2	0.000000E+0	
-3.200000E+3	-4.537186E-4	-1.822315E-3	1.877949E-3	-1.039812E+2	3.392450E+4	3.301480E+2	2.877840E+2	0.000000E+0	
-3.300000E+3	-4.522548E-4	-1.820785E-3	1.876111E-3	-1.039491E+2	3.392450E+4	3.301480E+2	2.877810E+2	0.000000E+0	
-3.400000E+3	-4.511508E-4	-1.819456E-3	1.874555E-3	-1.039261E+2	3.392450E+4	3.301480E+2	2.877830E+2	0.000000E+0	
-3.500000E+3	-4.498306E-4	-1.817906E-3	1.872733E-3	-1.038983E+2	3.392450E+4	3.301480E+2	2.877770E+2	0.000000E+0	
-3.600000E+3	-4.487411E-4	-1.816579E-3	1.871184E-3	-1.038757E+2	3.392450E+4	3.301480E+2	2.877920E+2	0.000000E+0	
-3.700000E+3	-4.476347E-4	-1.815264E-3	1.869642E-3	-1.038525E+2	3.392450E+4	3.301480E+2	2.877960E+2	0.000000E+0	
-3.800000E+3	-4.467542E-4	-1.814201E-3	1.868399E-3	-1.038341E+2	3.392450E+4	3.301480E+2	2.877810E+2	0.000000E+0	
-3.900000E+3	-4.458797E-4	-1.813291E-3	1.867306E-3	-1.038147E+2	3.392450E+4	3.301480E+2	2.877850E+2	0.000000E+0	
-4.000000E+3	-4.454363E-4	-1.812849E-3	1.866772E-3	-1.038047E+2	3.392450E+4	3.301480E+2	2.877880E+2	0.000000E+0	
-4.100000E+3	-4.452852E-4	-1.812415E-3	1.866314E-3	-1.038034E+2	3.392450E+4	3.301480E+2	2.877830E+2	0.000000E+0	
-4.200000E+3	-4.454339E-4	-1.812416E-3	1.866350E-3	-1.038078E+2	3.392450E+4	3.301480E+2	2.877820E+2	0.000000E+0	
-4.300000E+3	-4.452835E-4	-1.812195E-3	1.866100E-3	-1.038049E+2	3.392450E+4	3.301480E+2	2.877910E+2	0.000000E+0	
-4.400000E+3	-4.456587E-4	-1.812417E-3	1.866405E-3	-1.038145E+2	3.392450E+4	3.301480E+2	2.877760E+2	0.000000E+0	
-4.500000E+3	-4.461036E-4	-1.812640E-3	1.866727E-3	-1.038261E+2	3.392450E+4	3.301480E+2	2.877890E+2	0.000000E+0	
-4.600000E+3	-4.465391E-4	-1.813522E-3	1.867688E-3	-1.038326E+2	3.392450E+4	3.301480E+2	2.877950E+2	0.000000E+0	
-4.700000E+3	-4.474182E-4	-1.814835E-3	1.869173E-3	-1.038492E+2	3.392450E+4	3.301480E+2	2.877910E+2	0.000000E+0	
-4.800000E+3	-4.485123E-4	-1.815704E-3	1.870280E-3	-1.038753E+2	3.392450E+4	3.301480E+2	2.877960E+2	0.000000E+0	
-4.900000E+3	-4.498272E-4	-1.817250E-3	1.872095E-3	-1.039031E+2	3.392450E+4	3.301480E+2	2.877860E+2	0.000000E+0	
-5.000000E+3	-4.509387E-4	-1.818578E-3	1.873652E-3	-1.039263E+2	3.392450E+4	3.301480E+2	2.877860E+2	0.000000E+0	
-5.100000E+3	-4.523920E-4	-1.820348E-3	1.875720E-3	-1.039564E+2	3.392450E+4	3.301480E+2	2.877810E+2	0.000000E+0	
-5.200000E+3	-4.535064E-4	-1.821659E-3	1.877261E-3	-1.039797E+2	3.392450E+4	3.301480E+2	2.877900E+2	0.000000E+0	
-5.300000E+3	-4.545832E-4	-1.822961E-3	1.878785E-3	-1.040020E+2	3.392450E+4	3.301480E+2	2.877920E+2	0.000000E+0	
-5.400000E+3	-4.554788E-4	-1.824068E-3	1.880076E-3	-1.040203E+2	3.392450E+4	3.301480E+2	2.877960E+2	0.000000E+0	
-5.500000E+3	-4.563562E-4	-1.825169E-3	1.881357E-3	-1.040381E+2	3.392450E+4	3.301480E+2	2.877930E+2	0.000000E+0	
-5.600000E+3	-4.572333E-4	-1.825953E-3	1.882330E-3	-1.040582E+2	3.392450E+4	3.301480E+2	2.877860E+2	0.000000E+0	
-5.700000E+3	-4.578991E-4	-1.827211E-3	1.883712E-3	-1.040686E+2	3.392450E+4	3.301480E+2	2.877870E+2	0.000000E+0	
-5.800000E+3	-4.587775E-4	-1.828155E-3	1.884842E-3	-1.040875E+2	3.392450E+4	3.301480E+2	2.877940E+2	0.000000E+0	
-5.900000E+3	-4.593956E-4	-1.829242E-3	1.886046E-3	-1.040977E+2	3.392450E+4	3.301480E+2	2.878030E+2	0.000000E+0	
-6.000000E+3	-4.604902E-4	-1.830335E-3	1.887373E-3	-1.041218E+2	3.392450E+4	3.301480E+2	2.877990E+2	0.000000E+0	
-6.100000E+3	-4.618064E-4	-1.831887E-3	1.889200E-3	-1.041491E+2	3.392450E+4	3.301480E+2	2.877900E+2	0.000000E+0	
-6.200000E+3	-4.629129E-4	-1.833610E-3	1.891141E-3	-1.041688E+2	3.392450E+4	3.301480E+2	2.877860E+2	0.000000E+0	
-6.300000E+3	-4.644411E-4	-1.835160E-3	1.893018E-3	-1.042022E+2	3.392450E+4	3.301480E+2	2.877930E+2	0.000000E+0	
-6.400000E+3	-4.657667E-4	-1.836907E-3	1.895037E-3	-1.042281E+2	3.392450E+4	3.301480E+2	2.877910E+2	0.000000E+0	
-6.500000E+3	-4.672327E-4	-1.838671E-3	1.897108E-3	-1.042579E+2	3.392450E+4	3.301480E+2	2.878030E+2	0.000000E+0	
-6.600000E+3	-4.685641E-4	-1.839896E-3	1.898623E-3	-1.042877E+2	3.392450E+4	3.301480E+2	2.877990E+2	0.000000E+0	
-6.700000E+3	-4.697144E-4	-1.841439E-3	1.900402E-3	-1.043099E+2	3.392450E+4	3.301480E+2	2.877910E+2	0.000000E+0	
-6.800000E+3	-4.705273E-4	-1.842121E-3	1.901264E-3	-1.043285E+2	3.392450E+4	3.301480E+2	2.877900E+2	0.000000E+0	
-6.900000E+3	-4.709728E-4	-1.843180E-3	1.902401E-3	-1.043336E+2	3.392450E+4	3.301480E+2	2.877910E+2	0.000000E+0	
-7.000000E+3	-4.718450E-4	-1.843619E-3	1.903042E-3	-1.043558E+2	3.392450E+4	3.301480E+2	2.878000E+2	0.000000E+0	
-7.100000E+3	-4.720728E-4	-1.844062E-3	1.903528E-3	-1.043591E+2	3.392450E+4	3.301480E+2	2.877910E+2	0.000000E+0	
-7.200000E+3	-4.722869E-4	-1.844282E-3	1.903794E-3	-1.043637E+2	3.392450E+4	3.301480E+2	2.877940E+2	0.000000E+0	
-7.300000E+3	-4.722885E-4	-1.844282E-3	1.903794E-3	-1.043638E+2	3.392450E+4	3.301480E+2	2.877950E+2	0.000000E+0	
-7.400000E+3	-4.721746E-4	-1.843839E-3	1.903337E-3	-1.043638E+2	3.392450E+4	3.301480E+2	2.877930E+2	0.000000E+0	
