	
	Sensitivity=500  uV/pA,, Reserve=Normal,, Time Constant=100ms,, Low Pass Filter=24 dB/oct	
	Daten erstellt am: 	2018_10_11	
	***End of Header***
Stepwith 	Channel X LIA [V] 	Channel Y LIA [V] 	Amplitude LIA [V] 	Phase [°] 	Frequency [Hz] 	Temp Sensor 1 	Temp Sensor 2 	Current I [A]	Voltage over Resistance for Current [V] 
-1.000000E+2	-2.351027E-4	1.186272E-4	2.633357E-4	1.532256E+2	3.410050E+3	3.301480E+2	2.876040E+2	-4.965231E-2	-4.728791E-4
-2.000000E+2	-2.350963E-4	1.186734E-4	2.633508E-4	1.532160E+2	3.410050E+3	3.301480E+2	2.876110E+2	0.000000E+0	
-3.000000E+2	-2.351012E-4	1.186497E-4	2.633445E-4	1.532211E+2	3.410050E+3	3.301480E+2	2.876030E+2	0.000000E+0	
-4.000000E+2	-2.350810E-4	1.186716E-4	2.633363E-4	1.532148E+2	3.410050E+3	3.301480E+2	2.876080E+2	0.000000E+0	
-5.000000E+2	-2.351009E-4	1.186929E-4	2.633637E-4	1.532126E+2	3.410050E+3	3.301480E+2	2.876110E+2	0.000000E+0	
-6.000000E+2	-2.350361E-4	1.186273E-4	2.632763E-4	1.532190E+2	3.410050E+3	3.301480E+2	2.876080E+2	0.000000E+0	
-7.000000E+2	-2.350357E-4	1.186490E-4	2.632857E-4	1.532148E+2	3.410050E+3	3.301480E+2	2.876110E+2	0.000000E+0	
-8.000000E+2	-2.350385E-4	1.186397E-4	2.632840E-4	1.532169E+2	3.410050E+3	3.301480E+2	2.876140E+2	0.000000E+0	
-9.000000E+2	-2.351000E-4	1.186493E-4	2.633432E-4	1.532210E+2	3.410050E+3	3.301480E+2	2.876100E+2	0.000000E+0	
-1.000000E+3	-2.351010E-4	1.186273E-4	2.633342E-4	1.532254E+2	3.410050E+3	3.301480E+2	2.876130E+2	0.000000E+0	
-1.100000E+3	-2.350747E-4	1.185813E-4	2.632900E-4	1.532318E+2	3.410050E+3	3.301480E+2	2.876120E+2	0.000000E+0	
-1.200000E+3	-2.350348E-4	1.186706E-4	2.632947E-4	1.532105E+2	3.410050E+3	3.301480E+2	2.876090E+2	0.000000E+0	
-1.300000E+3	-2.350997E-4	1.186268E-4	2.633328E-4	1.532254E+2	3.410050E+3	3.301480E+2	2.876110E+2	0.000000E+0	
-1.400000E+3	-2.350345E-4	1.186495E-4	2.632848E-4	1.532146E+2	3.410050E+3	3.301480E+2	2.876070E+2	0.000000E+0	
-1.500000E+3	-2.350660E-4	1.186445E-4	2.633108E-4	1.532186E+2	3.410050E+3	3.301480E+2	2.876130E+2	0.000000E+0	
-1.600000E+3	-2.350032E-4	1.186051E-4	2.632369E-4	1.532201E+2	3.410050E+3	3.301480E+2	2.876060E+2	0.000000E+0	
-1.700000E+3	-2.350560E-4	1.186712E-4	2.633138E-4	1.532125E+2	3.410050E+3	3.301480E+2	2.876100E+2	0.000000E+0	
-1.800000E+3	-2.350564E-4	1.186922E-4	2.633236E-4	1.532084E+2	3.410050E+3	3.301480E+2	2.876090E+2	0.000000E+0	
