	
	Sensitivity=1 V/uA,, Reserve=Normal,, Time Constant=100ms,, Low Pass Filter=24 dB/oct	
	Daten erstellt am: 	2018_10_11	
	***End of Header***
Stepwith 	Channel X LIA [V] 	Channel Y LIA [V] 	Amplitude LIA [V] 	Phase [°] 	Frequency [Hz] 	Temp Sensor 1 	Temp Sensor 2 	Current I [A]	Voltage over Resistance for Current [V] 
-1.000000E+3	-3.048540E-1	6.962540E-1	7.600695E-1	1.136462E+2	1.388120E+4	3.301480E+2	2.873330E+2	-4.917718E-2	-4.683541E-4
-2.000000E+3	-3.048080E-1	6.962535E-1	7.600506E-1	1.136430E+2	1.388120E+4	3.301480E+2	2.873330E+2	0.000000E+0	
-3.000000E+3	-3.048077E-1	6.962093E-1	7.600100E-1	1.136443E+2	1.388120E+4	3.301480E+2	2.873350E+2	0.000000E+0	
-4.000000E+3	-3.047648E-1	6.962102E-1	7.599935E-1	1.136413E+2	1.388120E+4	3.301480E+2	2.873310E+2	0.000000E+0	
-5.000000E+3	-3.048091E-1	6.962088E-1	7.600101E-1	1.136444E+2	1.388120E+4	3.301480E+2	2.873370E+2	0.000000E+0	
-6.000000E+3	-3.048086E-1	6.962535E-1	7.600508E-1	1.136430E+2	1.388120E+4	3.301480E+2	2.873370E+2	0.000000E+0	
-7.000000E+3	-3.048087E-1	6.962547E-1	7.600519E-1	1.136430E+2	1.388120E+4	3.301480E+2	2.873360E+2	0.000000E+0	
-8.000000E+3	-3.048541E-1	6.962911E-1	7.601035E-1	1.136450E+2	1.388120E+4	3.301480E+2	2.873410E+2	0.000000E+0	
-9.000000E+3	-3.048077E-1	6.962539E-1	7.600508E-1	1.136430E+2	1.388120E+4	3.301480E+2	2.873480E+2	0.000000E+0	
-1.000000E+4	-3.048068E-1	6.962530E-1	7.600497E-1	1.136429E+2	1.388120E+4	3.301480E+2	2.873500E+2	0.000000E+0	
-1.100000E+4	-3.047644E-1	6.962549E-1	7.600344E-1	1.136399E+2	1.388120E+4	3.301480E+2	2.873390E+2	0.000000E+0	
