	
	Sensitivity=500 mV/nA,, Reserve=Normal,, Time Constant=100ms,, Low Pass Filter=24 dB/oct	
	Daten erstellt am: 	2018_10_11	
	***End of Header***
Stepwith 	Channel X LIA [V] 	Channel Y LIA [V] 	Amplitude LIA [V] 	Phase [°] 	Frequency [Hz] 	Temp Sensor 1 	Temp Sensor 2 	Current I [A]	Voltage over Resistance for Current [V] 
-1.000000E+3	-2.899900E-1	1.478070E-1	3.254860E-1	1.529922E+2	6.543570E+4	3.301480E+2	2.873790E+2	-5.431702E-2	-5.173050E-4
-2.000000E+3	-2.899900E-1	1.478070E-1	3.254859E-1	1.529922E+2	6.543570E+4	3.301480E+2	2.873950E+2	0.000000E+0	
-3.000000E+3	-2.899902E-1	1.478072E-1	3.254862E-1	1.529922E+2	6.543570E+4	3.301480E+2	2.873920E+2	0.000000E+0	
-4.000000E+3	-2.899900E-1	1.477851E-1	3.254760E-1	1.529956E+2	6.543570E+4	3.301480E+2	2.874040E+2	0.000000E+0	
-5.000000E+3	-2.899675E-1	1.477854E-1	3.254562E-1	1.529938E+2	6.543570E+4	3.301480E+2	2.874020E+2	0.000000E+0	
-6.000000E+3	-2.899454E-1	1.477851E-1	3.254363E-1	1.529921E+2	6.543570E+4	3.301480E+2	2.874080E+2	0.000000E+0	
-7.000000E+3	-2.899456E-1	1.477854E-1	3.254366E-1	1.529920E+2	6.543570E+4	3.301480E+2	2.873940E+2	0.000000E+0	
-8.000000E+3	-2.899671E-1	1.477854E-1	3.254557E-1	1.529938E+2	6.543570E+4	3.301480E+2	2.873920E+2	0.000000E+0	
-9.000000E+3	-2.899904E-1	1.478032E-1	3.254846E-1	1.529928E+2	6.543570E+4	3.301480E+2	2.874050E+2	0.000000E+0	
-1.000000E+4	-2.899681E-1	1.478076E-1	3.254667E-1	1.529904E+2	6.543570E+4	3.301480E+2	2.873980E+2	0.000000E+0	
-1.100000E+4	-2.899675E-1	1.478077E-1	3.254662E-1	1.529903E+2	6.543570E+4	3.301480E+2	2.874060E+2	0.000000E+0	
