	
	Sensitivity=500 mV/nA,, Reserve=Normal,, Time Constant=100ms,, Low Pass Filter=24 dB/oct	
	Daten erstellt am: 	2018_10_11	
	***End of Header***
Stepwith 	Channel X LIA [V] 	Channel Y LIA [V] 	Amplitude LIA [V] 	Phase [°] 	Frequency [Hz] 	Temp Sensor 1 	Temp Sensor 2 	Current I [A]	Voltage over Resistance for Current [V] 
-1.000000E+3	-2.334845E-1	9.766188E-2	2.530867E-1	1.573014E+2	8.162100E+4	3.301480E+2	2.874080E+2	-4.810649E-2	-4.581570E-4
-2.000000E+3	-2.334623E-1	9.768450E-2	2.530749E-1	1.572948E+2	8.162100E+4	3.301480E+2	2.873960E+2	0.000000E+0	
-3.000000E+3	-2.334622E-1	9.766209E-2	2.530662E-1	1.572994E+2	8.162100E+4	3.301480E+2	2.874080E+2	0.000000E+0	
-4.000000E+3	-2.334851E-1	9.766152E-2	2.530870E-1	1.573015E+2	8.162100E+4	3.301480E+2	2.874090E+2	0.000000E+0	
-5.000000E+3	-2.334622E-1	9.766696E-2	2.530681E-1	1.572984E+2	8.162100E+4	3.301480E+2	2.874100E+2	0.000000E+0	
-6.000000E+3	-2.334623E-1	9.768327E-2	2.530744E-1	1.572950E+2	8.162100E+4	3.301480E+2	2.874160E+2	0.000000E+0	
-7.000000E+3	-2.335066E-1	9.763818E-2	2.530979E-1	1.573083E+2	8.162100E+4	3.301480E+2	2.874140E+2	0.000000E+0	
-8.000000E+3	-2.334842E-1	9.768386E-2	2.530949E-1	1.572968E+2	8.162100E+4	3.301480E+2	2.874120E+2	0.000000E+0	
-9.000000E+3	-2.334850E-1	9.766198E-2	2.530872E-1	1.573014E+2	8.162100E+4	3.301480E+2	2.874120E+2	0.000000E+0	
-1.000000E+4	-2.334856E-1	9.767799E-2	2.530939E-1	1.572982E+2	8.162100E+4	3.301480E+2	2.874150E+2	0.000000E+0	
-1.100000E+4	-2.334616E-1	9.767627E-2	2.530711E-1	1.572964E+2	8.162100E+4	3.301480E+2	2.874110E+2	0.000000E+0	
