	
	Sensitivity=50 mV/nA,, Reserve=Normal,, Time Constant=100ms,, Low Pass Filter=24 dB/oct	
	Daten erstellt am: 	2018_10_05	
	***End of Header***
Stepwith 	Channel X LIA [V] 	Channel Y LIA [V] 	Amplitude LIA [V] 	Phase [°] 	Frequency [Hz] 	Temp Sensor 1 	Temp Sensor 2 	Current I [A]	Voltage over Resistance for Current [V] 
-1.000000E+2	-1.322563E-4	-2.467879E-3	2.471420E-3	-9.306761E+1	3.925480E+4	3.577600E+1	3.999800E+1	-4.619402E-2	-4.399430E-4
-2.000000E+2	-1.322493E-4	-2.465633E-3	2.469177E-3	-9.307024E+1	3.925480E+4	3.577900E+1	4.000200E+1	0.000000E+0	
-3.000000E+2	-1.323038E-4	-2.465629E-3	2.469176E-3	-9.307150E+1	3.925480E+4	3.577500E+1	4.000200E+1	0.000000E+0	
-4.000000E+2	-1.322913E-4	-2.465645E-3	2.469191E-3	-9.307119E+1	3.925480E+4	3.577700E+1	4.000200E+1	0.000000E+0	
-5.000000E+2	-1.323236E-4	-2.463406E-3	2.466958E-3	-9.307473E+1	3.925480E+4	3.577700E+1	4.000200E+1	0.000000E+0	
-6.000000E+2	-1.301783E-4	-2.463495E-3	2.466932E-3	-9.302486E+1	3.925480E+4	3.577600E+1	4.000100E+1	0.000000E+0	
-7.000000E+2	-1.302148E-4	-2.461273E-3	2.464715E-3	-9.302844E+1	3.925480E+4	3.577900E+1	4.000100E+1	0.000000E+0	
-8.000000E+2	-1.301753E-4	-2.461187E-3	2.464627E-3	-9.302763E+1	3.925480E+4	3.577700E+1	4.000200E+1	0.000000E+0	
-9.000000E+2	-1.301571E-4	-2.461241E-3	2.464680E-3	-9.302714E+1	3.925480E+4	3.577700E+1	4.000100E+1	0.000000E+0	
-1.000000E+3	-1.301304E-4	-2.461294E-3	2.464731E-3	-9.302645E+1	3.925480E+4	3.577800E+1	4.000100E+1	0.000000E+0	
-1.100000E+3	-1.301859E-4	-2.458985E-3	2.462429E-3	-9.303058E+1	3.925480E+4	3.577700E+1	4.000200E+1	0.000000E+0	
-1.200000E+3	-1.279372E-4	-2.458972E-3	2.462298E-3	-9.297834E+1	3.925480E+4	3.577700E+1	4.000100E+1	0.000000E+0	
-1.300000E+3	-1.279613E-4	-2.456750E-3	2.460081E-3	-9.298159E+1	3.925480E+4	3.577700E+1	4.000000E+1	0.000000E+0	
-1.400000E+3	-1.257759E-4	-2.456751E-3	2.459969E-3	-9.293076E+1	3.925480E+4	3.577700E+1	4.000200E+1	0.000000E+0	
-1.500000E+3	-1.257742E-4	-2.454541E-3	2.457761E-3	-9.293335E+1	3.925480E+4	3.577800E+1	4.000200E+1	0.000000E+0	
-1.600000E+3	-1.235094E-4	-2.452287E-3	2.455395E-3	-9.288327E+1	3.925480E+4	3.577900E+1	4.000100E+1	0.000000E+0	
-1.700000E+3	-1.213903E-4	-2.450179E-3	2.453184E-3	-9.283631E+1	3.925480E+4	3.578400E+1	4.000100E+1	0.000000E+0	
-1.800000E+3	-1.213322E-4	-2.447943E-3	2.450948E-3	-9.283754E+1	3.925480E+4	3.578000E+1	4.000000E+1	0.000000E+0	
-1.900000E+3	-1.169599E-4	-2.443608E-3	2.446406E-3	-9.274029E+1	3.925480E+4	3.577500E+1	4.000100E+1	0.000000E+0	
-2.000000E+3	-1.147241E-4	-2.439288E-3	2.441984E-3	-9.269274E+1	3.925480E+4	3.577900E+1	4.000000E+1	0.000000E+0	
-2.100000E+3	-1.102686E-4	-2.432795E-3	2.435292E-3	-9.259521E+1	3.925480E+4	3.577600E+1	4.000100E+1	0.000000E+0	
-2.200000E+3	-1.058931E-4	-2.428400E-3	2.430707E-3	-9.249686E+1	3.925480E+4	3.577800E+1	4.000100E+1	0.000000E+0	
-2.300000E+3	-1.015553E-4	-2.419488E-3	2.421618E-3	-9.240351E+1	3.925480E+4	3.577700E+1	4.000100E+1	0.000000E+0	
-2.400000E+3	-9.572202E-5	-2.410757E-3	2.412657E-3	-9.227380E+1	3.925480E+4	3.577800E+1	4.000100E+1	0.000000E+0	
-2.500000E+3	-8.696872E-5	-2.399662E-3	2.401237E-3	-9.207561E+1	3.925480E+4	3.577700E+1	4.000200E+1	0.000000E+0	
-2.600000E+3	-7.585832E-5	-2.386374E-3	2.387579E-3	-9.182071E+1	3.925480E+4	3.577600E+1	4.000100E+1	0.000000E+0	
-2.700000E+3	-6.063512E-5	-2.362392E-3	2.363170E-3	-9.147028E+1	3.925480E+4	3.577400E+1	4.000100E+1	0.000000E+0	
-2.800000E+3	-4.304168E-5	-2.339109E-3	2.339505E-3	-9.105417E+1	3.925480E+4	3.577800E+1	4.000100E+1	0.000000E+0	
-2.900000E+3	-9.679222E-6	-2.299599E-3	2.299619E-3	-9.024116E+1	3.925480E+4	3.577800E+1	4.000100E+1	0.000000E+0	
-3.000000E+3	1.882615E-5	-2.260940E-3	2.261018E-3	-8.952293E+1	3.925480E+4	3.577900E+1	4.000100E+1	0.000000E+0	
