	
	Sensitivity=50 mV/nA,, Reserve=Normal,, Time Constant=100ms,, Low Pass Filter=24 dB/oct	
	Daten erstellt am: 	2018_10_04	
	***End of Header***
Stepwith 	Channel X LIA [V] 	Channel Y LIA [V] 	Amplitude LIA [V] 	Phase [°] 	Frequency [Hz] 	Temp Sensor 1 	Temp Sensor 2 	Current I [A]	Voltage over Resistance for Current [V] 
-1.000000E+2	7.915042E-5	-2.561215E-3	2.562438E-3	-8.822993E+1	3.925480E+4	1.986000E+1	2.000000E+1	-4.791488E-2	-4.563322E-4
-2.000000E+2	7.916364E-5	-2.561174E-3	2.562397E-3	-8.822960E+1	3.925480E+4	1.985800E+1	2.000000E+1	0.000000E+0	
-3.000000E+2	7.911855E-5	-2.559017E-3	2.560240E-3	-8.822912E+1	3.925480E+4	1.985800E+1	2.000000E+1	0.000000E+0	
-4.000000E+2	7.909689E-5	-2.558998E-3	2.560220E-3	-8.822959E+1	3.925480E+4	1.985800E+1	2.000100E+1	0.000000E+0	
-5.000000E+2	8.136876E-5	-2.556846E-3	2.558140E-3	-8.817724E+1	3.925480E+4	1.985600E+1	2.000100E+1	0.000000E+0	
-6.000000E+2	8.132407E-5	-2.556768E-3	2.558061E-3	-8.817819E+1	3.925480E+4	1.985600E+1	2.000100E+1	0.000000E+0	
-7.000000E+2	8.133038E-5	-2.554643E-3	2.555937E-3	-8.817653E+1	3.925480E+4	1.985800E+1	2.000100E+1	0.000000E+0	
-8.000000E+2	8.353458E-5	-2.552466E-3	2.553832E-3	-8.812555E+1	3.925480E+4	1.985900E+1	2.000200E+1	0.000000E+0	
-9.000000E+2	8.579208E-5	-2.550176E-3	2.551619E-3	-8.807320E+1	3.925480E+4	1.985800E+1	2.000100E+1	0.000000E+0	
-1.000000E+3	8.586149E-5	-2.550234E-3	2.551678E-3	-8.807169E+1	3.925480E+4	1.985700E+1	2.000100E+1	0.000000E+0	
-1.100000E+3	8.783729E-5	-2.548038E-3	2.549551E-3	-8.802565E+1	3.925480E+4	1.985900E+1	2.000200E+1	0.000000E+0	
-1.200000E+3	9.012173E-5	-2.546332E-3	2.547927E-3	-8.797299E+1	3.925480E+4	1.985700E+1	2.000200E+1	0.000000E+0	
-1.300000E+3	9.229856E-5	-2.541910E-3	2.543585E-3	-8.792046E+1	3.925480E+4	1.985900E+1	2.000200E+1	0.000000E+0	
-1.400000E+3	9.450921E-5	-2.539665E-3	2.541423E-3	-8.786882E+1	3.925480E+4	1.985900E+1	2.000200E+1	0.000000E+0	
-1.500000E+3	9.668318E-5	-2.535345E-3	2.537188E-3	-8.781613E+1	3.925480E+4	1.985700E+1	2.000200E+1	0.000000E+0	
-1.600000E+3	9.894794E-5	-2.530956E-3	2.532889E-3	-8.776116E+1	3.925480E+4	1.985700E+1	2.000200E+1	0.000000E+0	
-1.700000E+3	1.033227E-4	-2.524562E-3	2.526675E-3	-8.765636E+1	3.925480E+4	1.985700E+1	2.000100E+1	0.000000E+0	
-1.800000E+3	1.098936E-4	-2.517683E-3	2.520080E-3	-8.750070E+1	3.925480E+4	1.985400E+1	2.000100E+1	0.000000E+0	
-1.900000E+3	1.116471E-4	-2.511233E-3	2.513714E-3	-8.745436E+1	3.925480E+4	1.985600E+1	2.000100E+1	0.000000E+0	
-2.000000E+3	1.183445E-4	-2.502463E-3	2.505259E-3	-8.729243E+1	3.925480E+4	1.985700E+1	2.000100E+1	0.000000E+0	
-2.100000E+3	1.271135E-4	-2.489175E-3	2.492418E-3	-8.707664E+1	3.925480E+4	1.985800E+1	2.000100E+1	0.000000E+0	
