	
	Sensitivity=500  uV/pA,, Reserve=Normal,, Time Constant=100ms,, Low Pass Filter=24 dB/oct	
	Daten erstellt am: 	2018_10_05	
	***End of Header***
Stepwith 	Channel X LIA [V] 	Channel Y LIA [V] 	Amplitude LIA [V] 	Phase [°] 	Frequency [Hz] 	Temp Sensor 1 	Temp Sensor 2 	Current I [A]	Voltage over Resistance for Current [V] 
-1.000000E+2	-3.471973E-6	1.129461E-5	1.181621E-5	1.070875E+2	3.389970E+2	3.913500E+1	4.500400E+1	-4.594183E-2	-4.375412E-4
-2.000000E+2	-4.548198E-6	1.133932E-5	1.221746E-5	1.118557E+2	3.389970E+2	3.913400E+1	4.500400E+1	0.000000E+0	
-3.000000E+2	-4.570330E-6	1.133704E-5	1.222360E-5	1.119560E+2	3.389970E+2	3.913200E+1	4.500400E+1	0.000000E+0	
-4.000000E+2	-4.524324E-6	1.132999E-5	1.219992E-5	1.117680E+2	3.389970E+2	3.912900E+1	4.500300E+1	0.000000E+0	
-5.000000E+2	-4.503072E-6	1.136466E-5	1.222428E-5	1.116152E+2	3.389970E+2	3.913500E+1	4.500300E+1	0.000000E+0	
-6.000000E+2	-4.570001E-6	1.129161E-5	1.218135E-5	1.120344E+2	3.389970E+2	3.913700E+1	4.500200E+1	0.000000E+0	
-7.000000E+2	-4.503335E-6	1.138182E-5	1.224034E-5	1.115867E+2	3.389970E+2	3.913300E+1	4.500300E+1	0.000000E+0	
-8.000000E+2	-4.520824E-6	1.127079E-5	1.214366E-5	1.118562E+2	3.389970E+2	3.913300E+1	4.500400E+1	0.000000E+0	
-9.000000E+2	-4.492842E-6	1.133698E-5	1.219478E-5	1.116184E+2	3.389970E+2	3.913300E+1	4.500400E+1	0.000000E+0	
-1.000000E+3	-4.525971E-6	1.133682E-5	1.220688E-5	1.117632E+2	3.389970E+2	3.913400E+1	4.500200E+1	0.000000E+0	
-1.100000E+3	-4.546334E-6	1.138214E-5	1.225652E-5	1.117731E+2	3.389970E+2	3.913400E+1	4.500100E+1	0.000000E+0	
-1.200000E+3	-4.459768E-6	1.136014E-5	1.220420E-5	1.114340E+2	3.389970E+2	3.913400E+1	4.500200E+1	0.000000E+0	
-1.300000E+3	-4.482601E-6	1.135953E-5	1.221199E-5	1.115348E+2	3.389970E+2	3.913400E+1	4.500200E+1	0.000000E+0	
-1.400000E+3	-4.416155E-6	1.135954E-5	1.218777E-5	1.112442E+2	3.389970E+2	3.913600E+1	4.500200E+1	0.000000E+0	
-1.500000E+3	-4.420317E-6	1.133724E-5	1.216849E-5	1.113005E+2	3.389970E+2	3.913600E+1	4.500400E+1	0.000000E+0	
-1.600000E+3	-4.420700E-6	1.135968E-5	1.218954E-5	1.112638E+2	3.389970E+2	3.913500E+1	4.500300E+1	0.000000E+0	
-1.700000E+3	-4.349872E-6	1.138175E-5	1.218465E-5	1.109158E+2	3.389970E+2	3.913600E+1	4.500200E+1	0.000000E+0	
-1.800000E+3	-4.376291E-6	1.133723E-5	1.215256E-5	1.111071E+2	3.389970E+2	3.913300E+1	4.500200E+1	0.000000E+0	
-1.900000E+3	-4.288474E-6	1.133722E-5	1.212121E-5	1.107199E+2	3.389970E+2	3.913500E+1	4.500200E+1	0.000000E+0	
