	
	Sensitivity=2 mV/nA,, Reserve=Normal,, Time Constant=100ms,, Low Pass Filter=24 dB/oct	
	Daten erstellt am: 	2018_10_05	
	***End of Header***
Stepwith 	Channel X LIA [V] 	Channel Y LIA [V] 	Amplitude LIA [V] 	Phase [°] 	Frequency [Hz] 	Temp Sensor 1 	Temp Sensor 2 	Current I [A]	Voltage over Resistance for Current [V] 
-1.000000E+2	-1.203961E-4	7.763230E-5	1.432550E-4	1.471858E+2	1.391010E+3	3.009600E+1	3.000200E+1	-4.672594E-2	-4.450089E-4
-2.000000E+2	-1.203977E-4	7.746016E-5	1.431631E-4	1.472440E+2	1.391010E+3	3.009500E+1	3.000300E+1	0.000000E+0	
-3.000000E+2	-1.203975E-4	7.754846E-5	1.432108E-4	1.472143E+2	1.391010E+3	3.009900E+1	3.000300E+1	0.000000E+0	
-4.000000E+2	-1.203949E-4	7.754684E-5	1.432077E-4	1.472142E+2	1.391010E+3	3.009800E+1	3.000300E+1	0.000000E+0	
-5.000000E+2	-1.203134E-4	7.754886E-5	1.431403E-4	1.471959E+2	1.391010E+3	3.009500E+1	3.000300E+1	0.000000E+0	
-6.000000E+2	-1.202201E-4	7.746230E-5	1.430150E-4	1.472048E+2	1.391010E+3	3.009500E+1	3.000300E+1	0.000000E+0	
-7.000000E+2	-1.201328E-4	7.754845E-5	1.429883E-4	1.471568E+2	1.391010E+3	3.009300E+1	3.000200E+1	0.000000E+0	
-8.000000E+2	-1.201490E-4	7.754838E-5	1.430019E-4	1.471604E+2	1.391010E+3	3.009500E+1	3.000200E+1	0.000000E+0	
-9.000000E+2	-1.201332E-4	7.746005E-5	1.429407E-4	1.471867E+2	1.391010E+3	3.009700E+1	3.000200E+1	0.000000E+0	
-1.000000E+3	-1.200446E-4	7.754983E-5	1.429149E-4	1.471372E+2	1.391010E+3	3.009600E+1	3.000200E+1	0.000000E+0	
-1.100000E+3	-1.199897E-4	7.754727E-5	1.428674E-4	1.471261E+2	1.391010E+3	3.009500E+1	3.000300E+1	0.000000E+0	
-1.200000E+3	-1.199872E-4	7.754924E-5	1.428664E-4	1.471249E+2	1.391010E+3	3.009200E+1	3.000200E+1	0.000000E+0	
-1.300000E+3	-1.197179E-4	7.754956E-5	1.426405E-4	1.470661E+2	1.391010E+3	3.009800E+1	3.000300E+1	0.000000E+0	
-1.400000E+3	-1.197199E-4	7.754801E-5	1.426413E-4	1.470670E+2	1.391010E+3	3.009900E+1	3.000300E+1	0.000000E+0	
-1.500000E+3	-1.195439E-4	7.748783E-5	1.424609E-4	1.470489E+2	1.391010E+3	3.010000E+1	3.000100E+1	0.000000E+0	
-1.600000E+3	-1.193681E-4	7.754767E-5	1.423460E-4	1.469902E+2	1.391010E+3	3.009600E+1	3.000100E+1	0.000000E+0	
-1.700000E+3	-1.191063E-4	7.754723E-5	1.421263E-4	1.469328E+2	1.391010E+3	3.009500E+1	3.000100E+1	0.000000E+0	
-1.800000E+3	-1.189320E-4	7.754820E-5	1.419808E-4	1.468941E+2	1.391010E+3	3.009500E+1	3.000200E+1	0.000000E+0	
-1.900000E+3	-1.185817E-4	7.762555E-5	1.417299E-4	1.467906E+2	1.391010E+3	3.009800E+1	3.000100E+1	0.000000E+0	
-2.000000E+3	-1.183127E-4	7.754823E-5	1.414624E-4	1.467571E+2	1.391010E+3	3.009900E+1	3.000300E+1	0.000000E+0	
-2.100000E+3	-1.178383E-4	7.762599E-5	1.411086E-4	1.466251E+2	1.391010E+3	3.009700E+1	3.000200E+1	0.000000E+0	
-2.200000E+3	-1.173150E-4	7.763314E-5	1.406759E-4	1.465054E+2	1.391010E+3	3.009900E+1	3.000300E+1	0.000000E+0	
-2.300000E+3	-1.167498E-4	7.772123E-5	1.402537E-4	1.463480E+2	1.391010E+3	3.009800E+1	3.000200E+1	0.000000E+0	
-2.400000E+3	-1.159578E-4	7.772373E-5	1.395965E-4	1.461670E+2	1.391010E+3	3.009600E+1	3.000200E+1	0.000000E+0	
-2.500000E+3	-1.148185E-4	7.789860E-5	1.387497E-4	1.458451E+2	1.391010E+3	3.009100E+1	3.000200E+1	0.000000E+0	
-2.600000E+3	-1.136366E-4	7.794869E-5	1.378016E-4	1.455519E+2	1.391010E+3	3.009100E+1	3.000300E+1	0.000000E+0	
-2.700000E+3	-1.115392E-4	7.803519E-5	1.361267E-4	1.450226E+2	1.391010E+3	3.009200E+1	3.000300E+1	0.000000E+0	
-2.800000E+3	-1.094193E-4	7.821062E-5	1.344972E-4	1.444436E+2	1.391010E+3	3.009300E+1	3.000300E+1	0.000000E+0	
-2.900000E+3	-1.062158E-4	7.847456E-5	1.320608E-4	1.435422E+2	1.391010E+3	3.009500E+1	3.000300E+1	0.000000E+0	
-3.000000E+3	-1.028999E-4	7.874170E-5	1.295710E-4	1.425758E+2	1.391010E+3	3.009000E+1	3.000300E+1	0.000000E+0	
-3.100000E+3	-9.748635E-5	7.909216E-5	1.255355E-4	1.409471E+2	1.391010E+3	3.009200E+1	3.000300E+1	0.000000E+0	
-3.200000E+3	-9.260149E-5	7.943587E-5	1.220045E-4	1.393762E+2	1.391010E+3	3.009500E+1	3.000100E+1	0.000000E+0	
-3.300000E+3	-8.674718E-5	7.987686E-5	1.179211E-4	1.373611E+2	1.391010E+3	3.009600E+1	3.000200E+1	0.000000E+0	
-3.400000E+3	-8.184650E-5	8.023238E-5	1.146128E-4	1.355706E+2	1.391010E+3	3.009300E+1	3.000300E+1	0.000000E+0	
-3.500000E+3	-7.582308E-5	8.066962E-5	1.107101E-4	1.332261E+2	1.391010E+3	3.009500E+1	3.000300E+1	0.000000E+0	
-3.600000E+3	-7.153349E-5	8.085149E-5	1.079537E-4	1.315008E+2	1.391010E+3	3.009600E+1	3.000200E+1	0.000000E+0	
-3.700000E+3	-6.734653E-5	8.120055E-5	1.054945E-4	1.296718E+2	1.391010E+3	3.009100E+1	3.000100E+1	0.000000E+0	
-3.800000E+3	-6.465170E-5	8.128929E-5	1.038643E-4	1.284962E+2	1.391010E+3	3.009200E+1	3.000100E+1	0.000000E+0	
-3.900000E+3	-6.254080E-5	8.147232E-5	1.027088E-4	1.275110E+2	1.391010E+3	3.009400E+1	3.000200E+1	0.000000E+0	
-4.000000E+3	-6.158964E-5	8.155928E-5	1.022018E-4	1.270583E+2	1.391010E+3	3.010000E+1	3.000300E+1	0.000000E+0	
-4.100000E+3	-6.114635E-5	8.147321E-5	1.018664E-4	1.268885E+2	1.391010E+3	3.009300E+1	3.000100E+1	0.000000E+0	
-4.200000E+3	-6.150032E-5	8.147219E-5	1.020784E-4	1.270478E+2	1.391010E+3	3.009500E+1	3.000300E+1	0.000000E+0	
-4.300000E+3	-6.289135E-5	8.138114E-5	1.028504E-4	1.276969E+2	1.391010E+3	3.009700E+1	3.000200E+1	0.000000E+0	
-4.400000E+3	-6.456051E-5	8.120180E-5	1.037391E-4	1.284869E+2	1.391010E+3	3.009300E+1	3.000200E+1	0.000000E+0	
-4.500000E+3	-6.807458E-5	8.085150E-5	1.056935E-4	1.300964E+2	1.391010E+3	3.009600E+1	3.000100E+1	0.000000E+0	
-4.600000E+3	-7.181469E-5	8.067579E-5	1.080090E-4	1.316743E+2	1.391010E+3	3.009500E+1	3.000100E+1	0.000000E+0	
-4.700000E+3	-7.711644E-5	8.032310E-5	1.113497E-4	1.338332E+2	1.391010E+3	3.009700E+1	3.000200E+1	0.000000E+0	
-4.800000E+3	-8.244852E-5	7.998718E-5	1.148726E-4	1.358681E+2	1.391010E+3	3.009600E+1	3.000100E+1	0.000000E+0	
-4.900000E+3	-8.810854E-5	7.955630E-5	1.187111E-4	1.379200E+2	1.391010E+3	3.009500E+1	3.000100E+1	0.000000E+0	
-5.000000E+3	-9.373733E-5	7.918088E-5	1.227041E-4	1.398119E+2	1.391010E+3	3.009300E+1	3.000000E+1	0.000000E+0	
-5.100000E+3	-9.901116E-5	7.883195E-5	1.265610E-4	1.414735E+2	1.391010E+3	3.009300E+1	3.000100E+1	0.000000E+0	
-5.200000E+3	-1.034565E-4	7.847496E-5	1.298521E-4	1.428186E+2	1.391010E+3	3.009500E+1	3.000100E+1	0.000000E+0	
-5.300000E+3	-1.077061E-4	7.821176E-5	1.331078E-4	1.440144E+2	1.391010E+3	3.009500E+1	3.000200E+1	0.000000E+0	
-5.400000E+3	-1.113560E-4	7.794604E-5	1.359255E-4	1.450091E+2	1.391010E+3	3.009100E+1	3.000200E+1	0.000000E+0	
-5.500000E+3	-1.146927E-4	7.772363E-5	1.385474E-4	1.458758E+2	1.391010E+3	3.009000E+1	3.000200E+1	0.000000E+0	
-5.600000E+3	-1.177394E-4	7.745892E-5	1.409342E-4	1.466597E+2	1.391010E+3	3.009300E+1	3.000200E+1	0.000000E+0	
-5.700000E+3	-1.214542E-4	7.728438E-5	1.439583E-4	1.475304E+2	1.391010E+3	3.009400E+1	3.000100E+1	0.000000E+0	
-5.800000E+3	-1.249351E-4	7.710273E-5	1.468114E-4	1.483195E+2	1.391010E+3	3.009700E+1	3.000200E+1	0.000000E+0	
-5.900000E+3	-1.295819E-4	7.675285E-5	1.506070E-4	1.493612E+2	1.391010E+3	3.009300E+1	3.000300E+1	0.000000E+0	
-6.000000E+3	-1.339159E-4	7.640479E-5	1.541789E-4	1.502934E+2	1.391010E+3	3.009200E+1	3.000200E+1	0.000000E+0	
-6.100000E+3	-1.402132E-4	7.602162E-5	1.594962E-4	1.515341E+2	1.391010E+3	3.009500E+1	3.000200E+1	0.000000E+0	
-6.200000E+3	-1.455899E-4	7.568799E-5	1.640887E-4	1.525314E+2	1.391010E+3	3.009000E+1	3.000100E+1	0.000000E+0	
-6.300000E+3	-1.518610E-4	7.526155E-5	1.694876E-4	1.536372E+2	1.391010E+3	3.009200E+1	3.000300E+1	0.000000E+0	
-6.400000E+3	-1.577036E-4	7.487822E-5	1.745771E-4	1.546015E+2	1.391010E+3	3.009500E+1	3.000300E+1	0.000000E+0	
-6.500000E+3	-1.636682E-4	7.448878E-5	1.798217E-4	1.555287E+2	1.391010E+3	3.009500E+1	3.000300E+1	0.000000E+0	
