	
	Sensitivity=500  uV/pA,, Reserve=Normal,, Time Constant=100ms,, Low Pass Filter=24 dB/oct	
	Daten erstellt am: 	2018_10_05	
	***End of Header***
Stepwith 	Channel X LIA [V] 	Channel Y LIA [V] 	Amplitude LIA [V] 	Phase [°] 	Frequency [Hz] 	Temp Sensor 1 	Temp Sensor 2 	Current I [A]	Voltage over Resistance for Current [V] 
-1.000000E+2	-5.119789E-6	1.077057E-5	1.192550E-5	1.154241E+2	3.389970E+2	4.649200E+1	5.495900E+1	-4.578977E-2	-4.360931E-4
-2.000000E+2	-4.232808E-6	1.059445E-5	1.140873E-5	1.117782E+2	3.389970E+2	4.650500E+1	5.495900E+1	0.000000E+0	
-3.000000E+2	-4.186036E-6	1.052868E-5	1.133031E-5	1.116820E+2	3.389970E+2	4.651100E+1	5.495800E+1	0.000000E+0	
-4.000000E+2	-4.230184E-6	1.052885E-5	1.134686E-5	1.118888E+2	3.389970E+2	4.650300E+1	5.495900E+1	0.000000E+0	
-5.000000E+2	-4.214210E-6	1.052894E-5	1.134100E-5	1.118138E+2	3.389970E+2	4.650900E+1	5.495900E+1	0.000000E+0	
-6.000000E+2	-4.202453E-6	1.052885E-5	1.133655E-5	1.117588E+2	3.389970E+2	4.650900E+1	5.496000E+1	0.000000E+0	
-7.000000E+2	-4.165048E-6	1.052868E-5	1.132258E-5	1.115833E+2	3.389970E+2	4.650400E+1	5.495800E+1	0.000000E+0	
-8.000000E+2	-4.165148E-6	1.052889E-5	1.132281E-5	1.115834E+2	3.389970E+2	4.650100E+1	5.495800E+1	0.000000E+0	
-9.000000E+2	-4.136009E-6	1.054951E-5	1.133132E-5	1.114080E+2	3.389970E+2	4.650600E+1	5.495900E+1	0.000000E+0	
-1.000000E+3	-4.186225E-6	1.052897E-5	1.133065E-5	1.116823E+2	3.389970E+2	4.650500E+1	5.495900E+1	0.000000E+0	
-1.100000E+3	-4.120694E-6	1.062139E-5	1.139272E-5	1.112043E+2	3.389970E+2	4.651100E+1	5.496200E+1	0.000000E+0	
-1.200000E+3	-4.099150E-6	1.057220E-5	1.133906E-5	1.111928E+2	3.389970E+2	4.651100E+1	5.495900E+1	0.000000E+0	
-1.300000E+3	-4.165341E-6	1.052881E-5	1.132281E-5	1.115844E+2	3.389970E+2	4.651300E+1	5.496000E+1	0.000000E+0	
-1.400000E+3	-4.142884E-6	1.059470E-5	1.137590E-5	1.113572E+2	3.389970E+2	4.652600E+1	5.496100E+1	0.000000E+0	
-1.500000E+3	-4.077027E-6	1.059455E-5	1.135195E-5	1.110479E+2	3.389970E+2	4.653200E+1	5.496000E+1	0.000000E+0	
-1.600000E+3	-4.010699E-6	1.057204E-5	1.130724E-5	1.107752E+2	3.389970E+2	4.651400E+1	5.496000E+1	0.000000E+0	
-1.700000E+3	-4.077446E-6	1.059450E-5	1.135205E-5	1.110499E+2	3.389970E+2	4.653100E+1	5.496100E+1	0.000000E+0	
-1.800000E+3	-4.010146E-6	1.052911E-5	1.126692E-5	1.108500E+2	3.389970E+2	4.652700E+1	5.496100E+1	0.000000E+0	
-1.900000E+3	-3.934793E-6	1.052888E-5	1.124011E-5	1.104914E+2	3.389970E+2	4.652900E+1	5.496100E+1	0.000000E+0	
-2.000000E+3	-3.919816E-6	1.055128E-5	1.125587E-5	1.103801E+2	3.389970E+2	4.652900E+1	5.496000E+1	0.000000E+0	
-2.100000E+3	-3.817684E-6	1.057226E-5	1.124044E-5	1.098548E+2	3.389970E+2	4.653100E+1	5.496200E+1	0.000000E+0	
-2.200000E+3	-3.769549E-6	1.059427E-5	1.124491E-5	1.095861E+2	3.389970E+2	4.652600E+1	5.496000E+1	0.000000E+0	
-2.300000E+3	-3.644676E-6	1.059455E-5	1.120393E-5	1.089840E+2	3.389970E+2	4.653500E+1	5.496100E+1	0.000000E+0	
-2.400000E+3	-3.512597E-6	1.053423E-5	1.110443E-5	1.084408E+2	3.389970E+2	4.653400E+1	5.496100E+1	0.000000E+0	
-2.500000E+3	-3.341616E-6	1.055066E-5	1.106719E-5	1.075741E+2	3.389970E+2	4.654100E+1	5.496200E+1	0.000000E+0	
-2.600000E+3	-3.072826E-6	1.052855E-5	1.096780E-5	1.062702E+2	3.389970E+2	4.654300E+1	5.496200E+1	0.000000E+0	
-2.700000E+3	-2.861129E-6	1.055081E-5	1.093186E-5	1.051724E+2	3.389970E+2	4.654000E+1	5.496300E+1	0.000000E+0	
-2.800000E+3	-2.340711E-6	1.059455E-5	1.085004E-5	1.024585E+2	3.389970E+2	4.655400E+1	5.496200E+1	0.000000E+0	
