	
	Sensitivity=2 mV/nA,, Reserve=Normal,, Time Constant=100ms,, Low Pass Filter=24 dB/oct	
	Daten erstellt am: 	2018_10_11	
	***End of Header***
Stepwith 	Channel X LIA [V] 	Channel Y LIA [V] 	Amplitude LIA [V] 	Phase [°] 	Frequency [Hz] 	Temp Sensor 1 	Temp Sensor 2 	Current I [A]	Voltage over Resistance for Current [V] 
-1.000000E+2	-8.333457E-4	-3.361915E-4	8.986044E-4	-1.580297E+2	1.108820E+4	3.301480E+2	2.876790E+2	-4.921556E-2	-4.687196E-4
-2.000000E+2	-8.333466E-4	-3.361916E-4	8.986052E-4	-1.580297E+2	1.108820E+4	3.301480E+2	2.876820E+2	0.000000E+0	
-3.000000E+2	-8.332548E-4	-3.361072E-4	8.984886E-4	-1.580325E+2	1.108820E+4	3.301480E+2	2.876770E+2	0.000000E+0	
-4.000000E+2	-8.333432E-4	-3.362657E-4	8.986298E-4	-1.580252E+2	1.108820E+4	3.301480E+2	2.876860E+2	0.000000E+0	
-5.000000E+2	-8.332695E-4	-3.361919E-4	8.985338E-4	-1.580278E+2	1.108820E+4	3.301480E+2	2.876920E+2	0.000000E+0	
-6.000000E+2	-8.333429E-4	-3.361906E-4	8.986014E-4	-1.580297E+2	1.108820E+4	3.301480E+2	2.876820E+2	0.000000E+0	
-7.000000E+2	-8.334281E-4	-3.360146E-4	8.986147E-4	-1.580421E+2	1.108820E+4	3.301480E+2	2.876870E+2	0.000000E+0	
-8.000000E+2	-8.333421E-4	-3.361039E-4	8.985682E-4	-1.580348E+2	1.108820E+4	3.301480E+2	2.876870E+2	0.000000E+0	
-9.000000E+2	-8.334299E-4	-3.361892E-4	8.986815E-4	-1.580318E+2	1.108820E+4	3.301480E+2	2.876860E+2	0.000000E+0	
-1.000000E+3	-8.333449E-4	-3.361868E-4	8.986019E-4	-1.580299E+2	1.108820E+4	3.301480E+2	2.876900E+2	0.000000E+0	
-1.100000E+3	-8.333436E-4	-3.361036E-4	8.985695E-4	-1.580348E+2	1.108820E+4	3.301480E+2	2.876980E+2	0.000000E+0	
-1.200000E+3	-8.333443E-4	-3.361045E-4	8.985705E-4	-1.580348E+2	1.108820E+4	3.301480E+2	2.876890E+2	0.000000E+0	
-1.300000E+3	-8.333450E-4	-3.361026E-4	8.985704E-4	-1.580349E+2	1.108820E+4	3.301480E+2	2.876820E+2	0.000000E+0	
-1.400000E+3	-8.333431E-4	-3.361016E-4	8.985683E-4	-1.580349E+2	1.108820E+4	3.301480E+2	2.876820E+2	0.000000E+0	
-1.500000E+3	-8.331681E-4	-3.359264E-4	8.983405E-4	-1.580411E+2	1.108820E+4	3.301480E+2	2.876820E+2	0.000000E+0	
-1.600000E+3	-8.331674E-4	-3.361032E-4	8.984059E-4	-1.580306E+2	1.108820E+4	3.301480E+2	2.876920E+2	0.000000E+0	
