	
	Sensitivity=10 uV/pA,, Reserve=Normal,, Time Constant=100ms,, Low Pass Filter=24 dB/oct	
	Daten erstellt am: 	2018_10_11	
	***End of Header***
Stepwith 	Channel X LIA [V] 	Channel Y LIA [V] 	Amplitude LIA [V] 	Phase [°] 	Frequency [Hz] 	Temp Sensor 1 	Temp Sensor 2 	Current I [A]	Voltage over Resistance for Current [V] 
-1.000000E+2	5.473109E-7	5.342448E-6	5.370410E-6	8.415070E+1	3.389970E+2	3.301480E+2	2.875490E+2	-4.919670E-2	-4.685400E-4
-2.000000E+2	-5.503907E-8	5.439228E-6	5.439506E-6	9.057975E+1	3.389970E+2	3.301480E+2	2.875490E+2	0.000000E+0	
-3.000000E+2	-6.499097E-9	5.430728E-6	5.430732E-6	9.006857E+1	3.389970E+2	3.301480E+2	2.875450E+2	0.000000E+0	
-4.000000E+2	-7.278797E-8	5.431608E-6	5.432096E-6	9.076776E+1	3.389970E+2	3.301480E+2	2.875410E+2	0.000000E+0	
-5.000000E+2	-5.137740E-8	5.447431E-6	5.447673E-6	9.054037E+1	3.389970E+2	3.301480E+2	2.875310E+2	0.000000E+0	
-6.000000E+2	-1.166214E-7	5.425012E-6	5.426265E-6	9.123150E+1	3.389970E+2	3.301480E+2	2.875340E+2	0.000000E+0	
-7.000000E+2	-5.301019E-8	5.447212E-6	5.447470E-6	9.055756E+1	3.389970E+2	3.301480E+2	2.875400E+2	0.000000E+0	
-8.000000E+2	-4.096851E-8	5.374907E-6	5.375063E-6	9.043671E+1	3.389970E+2	3.301480E+2	2.875450E+2	0.000000E+0	
-9.000000E+2	-5.336687E-8	5.435886E-6	5.436148E-6	9.056248E+1	3.389970E+2	3.301480E+2	2.875410E+2	0.000000E+0	
-1.000000E+3	-5.774473E-8	5.386947E-6	5.387256E-6	9.061415E+1	3.389970E+2	3.301480E+2	2.875380E+2	0.000000E+0	
-1.100000E+3	-3.307960E-8	5.405567E-6	5.405668E-6	9.035062E+1	3.389970E+2	3.301480E+2	2.875380E+2	0.000000E+0	
-1.200000E+3	1.315403E-9	5.445482E-6	5.445482E-6	8.998616E+1	3.389970E+2	3.301480E+2	2.875420E+2	0.000000E+0	
-1.300000E+3	-3.678366E-8	5.482322E-6	5.482445E-6	9.038442E+1	3.389970E+2	3.301480E+2	2.875480E+2	0.000000E+0	
-1.400000E+3	2.888491E-9	5.356817E-6	5.356818E-6	8.996911E+1	3.389970E+2	3.301480E+2	2.875370E+2	0.000000E+0	
-1.500000E+3	-2.956003E-8	5.414065E-6	5.414146E-6	9.031282E+1	3.389970E+2	3.301480E+2	2.875420E+2	0.000000E+0	
-1.600000E+3	-2.354070E-8	5.403920E-6	5.403971E-6	9.024959E+1	3.389970E+2	3.301480E+2	2.875510E+2	0.000000E+0	
-1.700000E+3	-6.633990E-8	5.377092E-6	5.377501E-6	9.070685E+1	3.389970E+2	3.301480E+2	2.875370E+2	0.000000E+0	
-1.800000E+3	-5.667700E-8	5.386096E-6	5.386394E-6	9.060289E+1	3.389970E+2	3.301480E+2	2.875530E+2	0.000000E+0	
-1.900000E+3	-1.351743E-8	5.398873E-6	5.398890E-6	9.014345E+1	3.389970E+2	3.301480E+2	2.875510E+2	0.000000E+0	
-2.000000E+3	-5.612143E-8	5.388362E-6	5.388654E-6	9.059673E+1	3.389970E+2	3.301480E+2	2.875470E+2	0.000000E+0	
-2.100000E+3	-2.247499E-8	5.406496E-6	5.406543E-6	9.023818E+1	3.389970E+2	3.301480E+2	2.875490E+2	0.000000E+0	
-2.200000E+3	1.887282E-8	5.422339E-6	5.422372E-6	8.980058E+1	3.389970E+2	3.301480E+2	2.875540E+2	0.000000E+0	
-2.300000E+3	-8.100167E-8	5.356763E-6	5.357375E-6	9.086633E+1	3.389970E+2	3.301480E+2	2.875540E+2	0.000000E+0	
-2.400000E+3	5.900466E-8	5.416562E-6	5.416883E-6	8.937588E+1	3.389970E+2	3.301480E+2	2.875480E+2	0.000000E+0	
-2.500000E+3	-5.732533E-8	5.404490E-6	5.404794E-6	9.060771E+1	3.389970E+2	3.301480E+2	2.875440E+2	0.000000E+0	
-2.600000E+3	2.018902E-8	5.412326E-6	5.412363E-6	8.978628E+1	3.389970E+2	3.301480E+2	2.875520E+2	0.000000E+0	
-2.700000E+3	2.995989E-8	5.364447E-6	5.364531E-6	8.968001E+1	3.389970E+2	3.301480E+2	2.875490E+2	0.000000E+0	
-2.800000E+3	4.107323E-8	5.456572E-6	5.456727E-6	8.956873E+1	3.389970E+2	3.301480E+2	2.875410E+2	0.000000E+0	
